COD_VIA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;COD_VIA_COMIENZA;CLASE_COMIENZA;PARTICULA_COMIENZA;NOMBRE_COMIENZA;NOMBRE_ACENTOS_COMIENZA;COD_VIA_TERMINA;CLASE_TERMINA;PARTICULA_TERMINA;NOMBRE_TERMINA;NOMBRE_ACENTOS_TERMINA
00722800;CALLE;DE;SIMACOTA;SIMACOTA;00139100;CALLE;DEL;CARACOLI;CARACOLÍ;00229700;CALLE;DE;CHIMICHAGUA;CHIMICHAGUA
00722900;CALLE;DE;SIMANCAS;SIMANCAS;00595200;CALLE;DE;PINOS ALTA;PINOS ALTA;00206600;CALLE;DEL;CONDE DEL SERRALLO;CONDE DEL SERRALLO
31000007;CALLE;DEL;SIMCA;SIMCA;00627450;AVENIDA;DE;RAFAELA YBARRA;RAFAELA YBARRA;00162450;CALLE;DEL;CENSO;CENSO
00002262;CALLE;DE;SIMON BOLIVAR;SIMÓN BOLÍVAR;00002325;GLORIETA;DE;FRANCISCO FERNANDEZ ORDOÑEZ;FRANCISCO FERNÁNDEZ ORDOÑEZ;00280100;CALLE;DE;ESTIBALIZ;ESTÍBALIZ
00002130;PASEO;DE;SIMON DE ROJAS CLEMENTE;SIMÓN DE ROJAS CLEMENTE;00002146;PASEO;DE;JUAN DE MINUART;JUAN DE MINUART;00002126;PASEO;DE;FELIX AVELLAR BROTERO;FÉLIX AVELLAR BROTERO
00001853;CALLE;DE;SIMON VIÑALS;SIMÓN VIÑALS;00540200;CALLE;DE;NUESTRA SEÑORA DE VALVERDE;NUESTRA SEÑORA DE VALVERDE;00006700;CALLE;DE;AFUERAS A VALVERDE;AFUERAS A VALVERDE
31001788;CALLE;DE LA;SIMPATIA;SIMPATÍA;31001764;AVENIDA;DE;MIGUEL DELIBES;MIGUEL DELIBES;31001765;AVENIDA;DE;BLAS DE LEZO;BLAS DE LEZO
00723415;CALLE;DEL;SIMUN;SIMÚN;00076550;CALLE;DEL;ARROYO DE LA TIA MARTINA;ARROYO DE LA TÍA MARTINA;31000037;CALLE;DE LA;PLAYA DE BARLOVENTO;PLAYA DE BARLOVENTO
00723500;CALLE;DE;SINCELEJO;SINCELEJO;00459000;CALLE;DE;MANIZALES;MANIZALES;00229700;CALLE;DE;CHIMICHAGUA;CHIMICHAGUA
00723600;CALLE;DE;SINESIO DELGADO;SINESIO DELGADO;00153600;PASEO;DE LA;CASTELLANA;CASTELLANA;00510400;AVENIDA;DE;MIRAFLORES;MIRAFLORES
31000278;CALLE;DE LA;SINFONIA;SINFONÍA;00084000;AVENIDA;DE LA;AVIACION;AVIACIÓN;31000351;CALLE;DE LAS;FLAUTAS;FLAUTAS
00001120;CAMINO;DE;SINTRA;SINTRA;00001108;GLORIETA;DE;SINTRA;SINTRA;99000001;LUGAR;;FONDO DE SACO;FONDO DE SACO
