Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Número de Finca;Matrícula
439649,2898;4473254,298;29/05/2014;01  CENTRO;01-01 PALACIO;TOLEDO, CALLE, DE;106;301110074
439253,0677;4474038,737;01/07/2014;01  CENTRO;01-01 PALACIO;VEGA, CUESTA, DE LA;3;301120019
439315,4989;4474040,499;01/07/2014;01  CENTRO;01-01 PALACIO;VEGA, CUESTA, DE LA;1;301120020
439454,6283;4473327,555;28/05/2014;01  CENTRO;01-01 PALACIO;VENTOSA, CALLE, DE LA;FRENTE 19;301110070
439685,0561;4474340,056;26/05/2014;01  CENTRO;01-01 PALACIO;VERGARA, CALLE, DE;9;301110015
439540,6985;4473987,036;26/05/2014;01  CENTRO;01-01 PALACIO;VILLA, CALLE, DE LA;2;301110028
439594,5452;4473328,884;28/05/2014;01  CENTRO;01-01 PALACIO;VIRGEN DE LA PALOMA, PLAZA, DE LA;5;301110067
439927,1852;4473440,612;28/05/2014;01  CENTRO;01-02 EMBAJADORES;AMAZONAS, CALLE, DE LAS;1;301210024
440529,0347;4473187,919;30/05/2014;01  CENTRO;01-02 EMBAJADORES;AMPARO, CALLE, DE;87;301210057
440558,5111;4473124,054;30/05/2014;01  CENTRO;01-02 EMBAJADORES;AMPARO, CALLE, DE;99;301210064
439770,6463;4473304,05;29/05/2014;01  CENTRO;01-02 EMBAJADORES;ARGANZUELA, CALLE, DE LA;FRENTE 12;301210036
440718,989;4473280,993;28/05/2014;01  CENTRO;01-02 EMBAJADORES;ARGUMOSA, CALLE, DE;16;301210015
440630,2213;4473311,681;29/05/2014;01  CENTRO;01-02 EMBAJADORES;ARGUMOSA, CALLE, DE;7;301210042
440802,5792;4473273,212;29/05/2014;01  CENTRO;01-02 EMBAJADORES;ARGUMOSA, CALLE, DE;FRENTE 22;301210052
440948,2884;4473192,936;30/05/2014;01  CENTRO;01-02 EMBAJADORES;ARGUMOSA, CALLE, DE;30;301210060
440424,6557;4473907,451;28/05/2014;01  CENTRO;01-02 EMBAJADORES;ATOCHA, CALLE, DE;35;301210006
441085,1557;4473489,993;29/05/2014;01  CENTRO;01-02 EMBAJADORES;ATOCHA, CALLE, DE;119;301210033
440854,7938;4473129,517;30/05/2014;01  CENTRO;01-02 EMBAJADORES;ATOCHA, RONDA, DE;16;301210061
440520,8871;4473546,968;28/05/2014;01  CENTRO;01-02 EMBAJADORES;AVE MARIA, CALLE, DEL;32;301210019
440463,812;4473671,727;28/05/2014;01  CENTRO;01-02 EMBAJADORES;CALVARIO, CALLE, DEL;27;301210014
439834,3601;4473139,745;29/05/2014;01  CENTRO;01-02 EMBAJADORES;CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL;8;301210053
439908,0509;4473148,525;30/05/2014;01  CENTRO;01-02 EMBAJADORES;CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL;2;301210066
440468,1067;4473823,813;28/05/2014;01  CENTRO;01-02 EMBAJADORES;CAÑIZARES, CALLE, DE LOS;6;301210007
439713,2192;4473222,793;29/05/2014;01  CENTRO;01-02 EMBAJADORES;CAPITAN SALAZAR MARTINEZ, CALLE, DEL;FRENTE 5;301210047
439893,2192;4473279,239;29/05/2014;01  CENTRO;01-02 EMBAJADORES;CARLOS ARNICHES, CALLE, DE;17;301210037
439996,8483;4473663,911;28/05/2014;01  CENTRO;01-02 EMBAJADORES;CASCORRO, PLAZA, DE;1;301210013
440002,2865;4473502,243;28/05/2014;01  CENTRO;01-02 EMBAJADORES;CASCORRO, PLAZA, DE;12;301210022
440180,0797;4473156,364;30/05/2014;01  CENTRO;01-02 EMBAJADORES;CASINO, CALLE, DEL;12;301210056
440007,1415;4473050,532;30/05/2014;01  CENTRO;01-02 EMBAJADORES;CASINO, CALLE, DEL;7;301210067
440052,8303;4473848,75;27/05/2014;01  CENTRO;01-02 EMBAJADORES;COLEGIATA, CALLE, DE LA;10;301210002
440104,4496;4473826,701;27/05/2014;01  CENTRO;01-02 EMBAJADORES;COLEGIATA, CALLE, DE LA;6;301210003
440211,6917;4473937,073;27/05/2014;01  CENTRO;01-02 EMBAJADORES;CONCEPCION JERONIMA, CALLE, DE LA;6;301210001
440204,4057;4473863,701;28/05/2014;01  CENTRO;01-02 EMBAJADORES;CONDE DE ROMANONES, CALLE, DEL;7;301210004
440286,5307;4473869,701;28/05/2014;01  CENTRO;01-02 EMBAJADORES;DOCTOR CORTEZO, CALLE, DEL;7;301210005
440960,7706;4473333,192;29/05/2014;01  CENTRO;01-02 EMBAJADORES;DOCTOR FOURQUET, CALLE, DEL;8;301210041
440779,7925;4473203,859;30/05/2014;01  CENTRO;01-02 EMBAJADORES;DOCTOR FOURQUET, CALLE, DEL;FRENTE 20;301210059
440707,6614;4473359,116;29/05/2014;01  CENTRO;01-02 EMBAJADORES;DOCTOR PIGA, CALLE, DEL;5;301210040
440079,7403;4473695,878;28/05/2014;01  CENTRO;01-02 EMBAJADORES;DUQUE DE ALBA, CALLE, DEL;13;301210012
440032,3509;4473552,066;28/05/2014;01  CENTRO;01-02 EMBAJADORES;EMBAJADORES, CALLE, DE;4;301210021
440205,4799;4473328,731;29/05/2014;01  CENTRO;01-02 EMBAJADORES;EMBAJADORES, CALLE, DE;48;301210038
440344,9695;4473053,72;30/05/2014;01  CENTRO;01-02 EMBAJADORES;EMBAJADORES, CALLE, DE;70;301210065
440342,3563;4472989,541;30/05/2014;01  CENTRO;01-02 EMBAJADORES;EMBAJADORES, GLORIETA, DE;10;301210070
439985,7437;4473707,033;28/05/2014;01  CENTRO;01-02 EMBAJADORES;ESTUDIOS, CALLE, DE LOS;10;301210011
440604,9269;4473383,132;29/05/2014;01  CENTRO;01-02 EMBAJADORES;FE, CALLE, DE LA;10;301210039
440981,1096;4473283,822;29/05/2014;01  CENTRO;01-02 EMBAJADORES;HOSPITAL, CALLE, DEL;10;301210044
440389,9159;4473534,744;28/05/2014;01  CENTRO;01-02 EMBAJADORES;LAVAPIES, CALLE, DE;32;301210020
440390,3394;4473765,54;28/05/2014;01  CENTRO;01-02 EMBAJADORES;MAGDALENA, CALLE, DE LA;8;301210008
440551,1557;4473771,451;28/05/2014;01  CENTRO;01-02 EMBAJADORES;MAGDALENA, CALLE, DE LA;25;301210009
440770,542;4473098,34;30/05/2014;01  CENTRO;01-02 EMBAJADORES;MALLORCA, CALLE, DE;13;301210062
440946,935;4473534,007;29/05/2014;01  CENTRO;01-02 EMBAJADORES;MARQUES DE TOCA, CALLE, DEL;1;301210029
440519,0002;4473010,016;30/05/2014;01  CENTRO;01-02 EMBAJADORES;MESON DE PAREDES, CALLE, DEL;85;301210072
440463,706;4473077,122;30/05/2014;01  CENTRO;01-02 EMBAJADORES;MIGUEL SERVET, CALLE, DE;19;301210071
439860,7817;4473262,138;29/05/2014;01  CENTRO;01-02 EMBAJADORES;MIRA EL RIO BAJA, CALLE, DE;9;301210045
440083,6876;4473195,671;29/05/2014;01  CENTRO;01-02 EMBAJADORES;MIRA EL SOL, CALLE, DE;15;301210049
440466,5698;4473547,771;28/05/2014;01  CENTRO;01-02 EMBAJADORES;OLIVAR, CALLE, DEL;32;301210026
440655,8677;4473668,707;28/05/2014;01  CENTRO;01-02 EMBAJADORES;OLMO, CALLE, DEL;30;301210016
440575,4564;4473490,109;28/05/2014;01  CENTRO;01-02 EMBAJADORES;PRIMAVERA, CALLE, DE LA;3;301210027
439654,4628;4473182,712;29/05/2014;01  CENTRO;01-02 EMBAJADORES;PUERTA DE TOLEDO, GLORIETA, DE LA;1;301210046
439975,8364;4473389,545;28/05/2014;01  CENTRO;01-02 EMBAJADORES;RIBERA DE CURTIDORES, CALLE, DE LA;6;301210025
439974,8785;4473218,242;29/05/2014;01  CENTRO;01-02 EMBAJADORES;RIBERA DE CURTIDORES, CALLE, DE LA;18;301210048
440000,6491;4473116,844;30/05/2014;01  CENTRO;01-02 EMBAJADORES;RIBERA DE CURTIDORES, CALLE, DE LA;39;301210055
440764,9597;4473478,597;29/05/2014;01  CENTRO;01-02 EMBAJADORES;SALITRE, CALLE, DEL;14;301210030
440835,9284;4473499,723;29/05/2014;01  CENTRO;01-02 EMBAJADORES;SAN COSME Y SAN DAMIAN, CALLE, DE;2;301210032
440820,6761;4473618,881;28/05/2014;01  CENTRO;01-02 EMBAJADORES;SAN ILDEFONSO, CALLE, DE;1;301210028
439863,3114;4473459,351;28/05/2014;01  CENTRO;01-02 EMBAJADORES;SANTA ANA, CALLE, DE;10;301210023
440730,92;4473615,745;28/05/2014;01  CENTRO;01-02 EMBAJADORES;SANTA ISABEL, CALLE, DE;26;301210017
440959,06;4473436,171;29/05/2014;01  CENTRO;01-02 EMBAJADORES;SANTA ISABEL, CALLE, DE;FRENTE 48 B;301210034
440666,7904;4473234,718;29/05/2014;01  CENTRO;01-02 EMBAJADORES;SOMBRERERIA, CALLE, DE LA;14 A;301210051
440158,239;4473779,576;30/05/2014;01  CENTRO;01-02 EMBAJADORES;TIRSO DE MOLINA, PLAZA, DE;14;301210054
439939,0723;4473722,493;28/05/2014;01  CENTRO;01-02 EMBAJADORES;TOLEDO, CALLE, DE;49;301210010
439672,3971;4473278,032;29/05/2014;01  CENTRO;01-02 EMBAJADORES;TOLEDO, CALLE, DE;115;301210035
440128,3394;4473020,428;30/05/2014;01  CENTRO;01-02 EMBAJADORES;TOLEDO, RONDA, DE;9;301210068
440233,2312;4472994,401;30/05/2014;01  CENTRO;01-02 EMBAJADORES;TOLEDO, RONDA, DE;38;301210069
440656,0071;4473585,989;28/05/2014;01  CENTRO;01-02 EMBAJADORES;TORRECILLA DEL LEAL, CALLE, DE LA;13;301210018
440695,5187;4473479,698;29/05/2014;01  CENTRO;01-02 EMBAJADORES;TORRECILLA DEL LEAL, CALLE, DE LA;32;301210031
440560,497;4473271,54;29/05/2014;01  CENTRO;01-02 EMBAJADORES;VALENCIA, CALLE, DE;FRENTE 8;301210043
440611,4721;4473157,973;30/05/2014;01  CENTRO;01-02 EMBAJADORES;VALENCIA, CALLE, DE;15;301210058
440637,7417;4473053,655;30/05/2014;01  CENTRO;01-02 EMBAJADORES;VALENCIA, RONDA, DE;2;301210063
441038,6431;4473625,483;29/05/2014;01  CENTRO;01-03 CORTES;ALMADEN, CALLE, DE;7;301310023
441134,7903;4473596,606;29/05/2014;01  CENTRO;01-03 CORTES;ALMADEN, CALLE, DE;FRENTE 21;301310025
440710,4432;4474274,895;28/05/2014;01  CENTRO;01-03 CORTES;ARLABAN, CALLE, DE;12;301310004
440725,5673;4473753,308;29/05/2014;01  CENTRO;01-03 CORTES;ATOCHA, CALLE, DE;73;301310019
440940,4063;4473599,229;29/05/2014;01  CENTRO;01-03 CORTES;ATOCHA, CALLE, DE;97;301310024
441071,5489;4473524,126;29/05/2014;01  CENTRO;01-03 CORTES;ATOCHA, CALLE, DE;115;301310026
440716,3223;4474502,659;28/03/2016;01  CENTRO;01-03 CORTES;CABALLERO DE GRACIA, CALLE, DEL;30;301310028
441097,4359;4474139,9;29/05/2014;01  CENTRO;01-03 CORTES;CANOVAS DEL CASTILLO, PLAZA, DE;5;301310007
441122,9341;4474028,385;29/05/2014;01  CENTRO;01-03 CORTES;CANOVAS DEL CASTILLO, PLAZA, DE;3;301310012
441176,781;4473526,824;29/05/2014;01  CENTRO;01-03 CORTES;CENICERO, CALLE, DE;11;301310027
440865,3706;4473979,827;29/05/2014;01  CENTRO;01-03 CORTES;CERVANTES, CALLE, DE;15;301310010
440980,4343;4473988,685;29/05/2014;01  CENTRO;01-03 CORTES;CERVANTES, CALLE, DE;25;301310011
440411,2807;4474060,701;29/05/2014;01  CENTRO;01-03 CORTES;ESPOZ Y MINA, CALLE, DE;28;301310009
440981,3162;4473906,538;29/05/2014;01  CENTRO;01-03 CORTES;JESUS, CALLE, DE;3;301310015
440859,8479;4473911,457;29/05/2014;01  CENTRO;01-03 CORTES;LOPE DE VEGA, CALLE, DE;23;301310014
440953,9415;4474350,555;28/05/2014;01  CENTRO;01-03 CORTES;LOS MADRAZO, CALLE, DE;28;301310002
440890,3082;4474339,935;28/05/2014;01  CENTRO;01-03 CORTES;LOS MADRAZO, CALLE, DE;FRENTE 17;301310003
440983,1557;4474408,951;28/05/2014;01  CENTRO;01-03 CORTES;MARQUES DE CUBAS, CALLE, DEL;2;301310001
440995,2944;4474253,58;28/05/2014;01  CENTRO;01-03 CORTES;MARQUES DE CUBAS, CALLE, DEL;19;301310005
440954,0431;4473778,887;29/05/2014;01  CENTRO;01-03 CORTES;MORATIN, CALLE, DE;35;301310020
440787,1801;4474070,264;29/05/2014;01  CENTRO;01-03 CORTES;PRADO, CALLE, DEL;25;301310008
441113,1302;4473935,712;29/05/2014;01  CENTRO;01-03 CORTES;PRADO, PASEO, DEL;16;301310016
441175,0402;4473924,456;29/05/2014;01  CENTRO;01-03 CORTES;PRADO, PASEO, DEL;FRENTE 11;301310017
441186,6596;4473856,917;29/05/2014;01  CENTRO;01-03 CORTES;PRADO, PASEO, DEL;20;301310018
440581,4188;4474136,632;29/05/2014;01  CENTRO;01-03 CORTES;PRINCIPE, CALLE, DEL;12;301310006
441050,7912;4473701,827;29/05/2014;01  CENTRO;01-03 CORTES;SAN PEDRO, CALLE, DE;14;301310021
440482,4112;4473925,303;29/05/2014;01  CENTRO;01-03 CORTES;SAN SEBASTIAN, CALLE, DE;FRENTE 2;301310013
441111,5816;4473691,61;29/05/2014;01  CENTRO;01-03 CORTES;VERONICA, CALLE, DE LA;20;301310022
441196,7302;4474884,71;27/05/2014;01  CENTRO;01-04 JUSTICIA;ALMIRANTE, CALLE, DEL;21;301410043
441040,2011;4474891,52;27/05/2014;01  CENTRO;01-04 JUSTICIA;ALMIRANTE, CALLE, DEL;5;301410048
441104,0294;4475290,641;26/05/2014;01  CENTRO;01-04 JUSTICIA;ARGENSOLA, CALLE, DE;23;301410012
441050,3023;4475196,734;26/05/2014;01  CENTRO;01-04 JUSTICIA;ARGENSOLA, CALLE, DE;9;301410022
440673,9778;4474916,092;27/05/2014;01  CENTRO;01-04 JUSTICIA;AUGUSTO FIGUEROA, CALLE, DE;17;301410044
440854,0958;4474842,309;27/05/2014;01  CENTRO;01-04 JUSTICIA;AUGUSTO FIGUEROA, CALLE, DE;39;301410046
441145,5443;4475009,665;27/05/2014;01  CENTRO;01-04 JUSTICIA;BARBARA DE BRAGANZA, CALLE, DE;2;301410037
441274,8556;4474970,03;27/05/2014;01  CENTRO;01-04 JUSTICIA;BARBARA DE BRAGANZA, CALLE, DE;14;301410038
440795,0934;4474794,141;27/05/2014;01  CENTRO;01-04 JUSTICIA;BARBIERI, CALLE, DE;18;301410050
440644,8261;4475372,32;26/05/2014;01  CENTRO;01-04 JUSTICIA;BARCELO, CALLE, DE;11;301410009
440981,3283;4474736,119;28/05/2014;01  CENTRO;01-04 JUSTICIA;BARQUILLO, CALLE, DEL;13;301410052
440992,1394;4474568,497;28/05/2014;01  CENTRO;01-04 JUSTICIA;BARQUILLO, CALLE, DEL;4;301410057
440921,592;4475064,753;27/05/2014;01  CENTRO;01-04 JUSTICIA;BELEN, TRAVESIA, DE;4;301410033
441021,5052;4475343,65;26/05/2014;01  CENTRO;01-04 JUSTICIA;CAMPOAMOR, CALLE, DE;FRENTE 18;301410010
440964,789;4475269,457;26/05/2014;01  CENTRO;01-04 JUSTICIA;CAMPOAMOR, CALLE, DE;7;301410014
440526,2348;4475490,084;26/05/2014;01  CENTRO;01-04 JUSTICIA;CHURRUCA, CALLE, DE;17;301410002
440556,8292;4475415,578;26/05/2014;01  CENTRO;01-04 JUSTICIA;CHURRUCA, CALLE, DE;FRENTE 7;301410008
441119,8286;4474939,923;27/05/2014;01  CENTRO;01-04 JUSTICIA;CONDE DE XIQUENA, CALLE, DEL;8;301410042
441107,192;4474821,365;27/05/2014;01  CENTRO;01-04 JUSTICIA;CONDE DE XIQUENA, CALLE, DEL;1;301410047
440682,5031;4475042,037;27/05/2014;01  CENTRO;01-04 JUSTICIA;FARMACIA, CALLE, DE LA;11;301410028
440887,6598;4475235,728;26/05/2014;01  CENTRO;01-04 JUSTICIA;FERNANDO VI, CALLE, DE;FRENTE 5;301410020
440966,9563;4475167,329;26/05/2014;01  CENTRO;01-04 JUSTICIA;FERNANDO VI, CALLE, DE;17;301410025
441052,4775;4475066,897;27/05/2014;01  CENTRO;01-04 JUSTICIA;FERNANDO VI, CALLE, DE;16;301410029
440466,022;4475487,395;26/05/2014;01  CENTRO;01-04 JUSTICIA;FUENCARRAL, CALLE, DE;98;301410001
440547,9983;4475220,318;26/05/2014;01  CENTRO;01-04 JUSTICIA;FUENCARRAL, CALLE, DE;79;301410017
441147,0057;4475212,635;26/05/2014;01  CENTRO;01-04 JUSTICIA;GENERAL CASTAÑOS, CALLE, DEL;FRENTE 9;301410023
441081,5369;4475375,281;26/05/2014;01  CENTRO;01-04 JUSTICIA;GENOVA, CALLE, DE;10;301410011
440616,2857;4474815,421;27/05/2014;01  CENTRO;01-04 JUSTICIA;HORTALEZA, CALLE, DE;25;301410049
440575,1557;4474745,326;28/05/2014;01  CENTRO;01-04 JUSTICIA;HORTALEZA, CALLE, DE;15;301410053
440536,8921;4474670,646;28/05/2014;01  CENTRO;01-04 JUSTICIA;HORTALEZA, CALLE, DE;7;301410061
440629,8849;4474699,675;28/05/2014;01  CENTRO;01-04 JUSTICIA;INFANTAS, CALLE, DE LAS;FRENTE 16;301410054
440877,8628;4474617,053;28/05/2014;01  CENTRO;01-04 JUSTICIA;INFANTAS, CALLE, DE LAS;29;301410055
441038,5643;4475267,236;26/05/2014;01  CENTRO;01-04 JUSTICIA;JUSTINIANO, CALLE, DE;10;301410013
440601,0624;4475494,995;26/05/2014;01  CENTRO;01-04 JUSTICIA;LARRA, CALLE, DE;16;301410003
440610,5314;4475429,062;26/05/2014;01  CENTRO;01-04 JUSTICIA;LARRA, CALLE, DE;FRENTE 8;301410007
440888,0686;4474915,845;27/05/2014;01  CENTRO;01-04 JUSTICIA;LUIS DE GONGORA, CALLE, DE;1;301410040
441298,2392;4475222,573;26/05/2014;01  CENTRO;01-04 JUSTICIA;MARQUES DE LA ENSENADA, CALLE, DEL;FRENTE 3;301410024
441227,5885;4475000,91;27/05/2014;01  CENTRO;01-04 JUSTICIA;MARQUES DE LA ENSENADA, CALLE, DEL;2;301410032
440848,2447;4474606,219;28/05/2014;01  CENTRO;01-04 JUSTICIA;MARQUES DE VALDEIGLESIAS, CALLE, DEL;5;301410059
440671,2132;4475488,681;26/05/2014;01  CENTRO;01-04 JUSTICIA;MEJIA LEQUERICA, CALLE, DE;21;301410004
440848,4609;4475293,077;26/05/2014;01  CENTRO;01-04 JUSTICIA;MEJIA LEQUERICA, CALLE, DE;2;301410015
440874,2569;4475126,954;27/05/2014;01  CENTRO;01-04 JUSTICIA;PELAYO, CALLE, DE;70;301410027
440776,2314;4474967,796;27/05/2014;01  CENTRO;01-04 JUSTICIA;PELAYO, CALLE, DE;36;301410039
440722,685;4474879,799;27/05/2014;01  CENTRO;01-04 JUSTICIA;PELAYO, CALLE, DE;13;301410045
441027,5954;4474946,076;27/05/2014;01  CENTRO;01-04 JUSTICIA;PIAMONTE, CALLE, DEL;12;301410041
440850,3223;4474563,243;28/05/2014;01  CENTRO;01-04 JUSTICIA;REINA, CALLE, DE LA;26;301410058
440665,392;4474627,108;28/05/2014;01  CENTRO;01-04 JUSTICIA;REINA, CALLE, DE LA;21;301410060
