Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Línea / Batería;Número de Plazas;Texto Cajetines
439100,51;4473716,81;13/12/2010;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;15;PMR;;1;
439165,71;4473430,77;12/12/2016;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;47;PMR;Línea;1;
439213,05;4473361,7;31/05/2013;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;55;PMR;Línea;1;
439485,35;4473218,99;03/12/2008;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;85;PMR;;1;
439767,07;4473520,08;18/02/2015;01  CENTRO;01-01 PALACIO;SIERPE, CALLE, DE LA;4;PMR;Línea;1;
439983,86;4474694,79;13/11/2009;01  CENTRO;01-01 PALACIO;SILVA, CALLE, DE;6A;PMR;;1;
439670,59;4473299,63;03/06/2014;01  CENTRO;01-01 PALACIO;TOLEDO, CALLE, DE;98;PMR;Línea;1;
439590,66;4473313,28;11/11/2016;01  CENTRO;01-01 PALACIO;VIRGEN DE LA PALOMA, PLAZA, DE LA;4;PMR;Línea;1;
440540,44;4473162,21;09/05/2001;01  CENTRO;01-02 EMBAJADORES;AMPARO, CALLE, DE;91;PMR;;1;
440580,78;4473322,83;20/11/2006;01  CENTRO;01-02 EMBAJADORES;ARGUMOSA, CALLE, DE;3;PMR;;1;
440646,44;4473308,71;30/03/2017;01  CENTRO;01-02 EMBAJADORES;ARGUMOSA, CALLE, DE;9;PMR;Batería;1;
440922,65;4473214,42;17/05/2017;01  CENTRO;01-02 EMBAJADORES;ARGUMOSA, CALLE, DE;28;PMR;;;
440339,81;4473946,15;18/12/2015;01  CENTRO;01-02 EMBAJADORES;ATOCHA, CALLE, DE;19;PMR;Línea;1;
440871,74;4473133,46;10/03/2009;01  CENTRO;01-02 EMBAJADORES;ATOCHA, RONDA, DE;14;PMR;Línea;1;
440545,91;4473574,56;11/03/1999;01  CENTRO;01-02 EMBAJADORES;AVE MARIA, CALLE, DEL;23;PMR;;1;
440151,37;4473938,91;30/03/2017;01  CENTRO;01-02 EMBAJADORES;CONCEPCION JERONIMA, CALLE, DE LA;15;PMR;Línea;1;
440211,32;4473894,96;23/02/2010;01  CENTRO;01-02 EMBAJADORES;CONDE DE ROMANONES, CALLE, DEL;5;PMR;;1;
440675,45;4473169,77;10/01/2014;01  CENTRO;01-02 EMBAJADORES;DOCTOR FOURQUET, CALLE, DEL;35;PMR;Línea;1;
440734,16;4473338,89;29/10/1999;01  CENTRO;01-02 EMBAJADORES;DOCTOR PIGA, CALLE, DEL;7;PMR;;1;
440060,48;4473923,78;01/08/2005;01  CENTRO;01-02 EMBAJADORES;DUQUE DE RIVAS, CALLE, DEL;2;PMR;;1;LABORABLES DE LUNES A VIERNESDE 8 A 15 H.
440054,6;4473522,69;24/06/2003;01  CENTRO;01-02 EMBAJADORES;EMBAJADORES, CALLE, DE;12;PMR;;2;
440188,97;4473344,85;01/12/2004;01  CENTRO;01-02 EMBAJADORES;EMBAJADORES, CALLE, DE;31;PMR;;3;
440585,97;4473488,16;03/08/2017;01  CENTRO;01-02 EMBAJADORES;ESCUADRA, CALLE, DE LA;12;PMR;Línea;1;
440584,27;4473519,71;04/08/2009;01  CENTRO;01-02 EMBAJADORES;ESPERANZA, CALLE, DE;6;PMR;;1;
439972,02;4473776,2;03/03/2010;01  CENTRO;01-02 EMBAJADORES;ESTUDIOS, CALLE, DE LOS;2;PMR;;1;
440367,38;4473617,84;05/04/2011;01  CENTRO;01-02 EMBAJADORES;LAVAPIES, CALLE, DE;18;PMR;;1;
440425,62;4473160,66;08/10/2015;01  CENTRO;01-02 EMBAJADORES;MESON DE PAREDES, CALLE, DEL;73;PMR;;;
439655,06;4473177,98;06/04/2017;01  CENTRO;01-02 EMBAJADORES;PUERTA DE TOLEDO, GLORIETA, DE LA;1;PMR;;;
439988,8;4473368,72;22/09/2015;01  CENTRO;01-02 EMBAJADORES;RIBERA DE CURTIDORES, CALLE, DE LA;17;PMR;Línea;1;
440775,95;4473484,06;15/06/2012;01  CENTRO;01-02 EMBAJADORES;SALITRE, CALLE, DEL;7;PMR;;1;
440683;4473388,13;21/03/2002;01  CENTRO;01-02 EMBAJADORES;SALITRE, CALLE, DEL;31;PMR;;1;
440405,73;4473535,94;15/06/2015;01  CENTRO;01-02 EMBAJADORES;SAN CARLOS, CALLE, DE;1;PMR;Línea;1;
440868,65;4473585,71;16/02/2007;01  CENTRO;01-02 EMBAJADORES;SAN ILDEFONSO, CALLE, DE;7;PMR;;2;DE LUNES A VIERNESDE 9 A 20 H.
439917,75;4473503,06;13/01/2005;01  CENTRO;01-02 EMBAJADORES;SANTA ANA, CALLE, DE;9;PMR;;1;
440729,4;4473630,67;22/11/2012;01  CENTRO;01-02 EMBAJADORES;SANTA ISABEL, CALLE, DE;7;PMR;;2;
440824,71;4473514,66;27/04/2016;01  CENTRO;01-02 EMBAJADORES;SANTA ISABEL, CALLE, DE;42;PMR;Línea;1;
440937,59;4473448,65;27/08/2015;01  CENTRO;01-02 EMBAJADORES;SANTA ISABEL, CALLE, DE;47;PMR;Batería;1;
441033,6;4473386,56;31/07/2014;01  CENTRO;01-02 EMBAJADORES;SANTA ISABEL, CALLE, DE;50;PMR;Batería;1;
440743,28;4473260,61;11/12/2009;01  CENTRO;01-02 EMBAJADORES;SOMBRERERIA, CALLE, DE LA;24;PMR;;1;
440152,64;4473753,8;01/07/2010;01  CENTRO;01-02 EMBAJADORES;TIRSO DE MOLINA, PLAZA, DE;13;PMR;;3;
439969,18;4473057,59;15/10/2010;01  CENTRO;01-02 EMBAJADORES;TOLEDO, RONDA, DE;5;PMR;;2;
440168,25;4473008,07;01/01/1900;01  CENTRO;01-02 EMBAJADORES;TOLEDO, RONDA, DE;Fte 32;PMR;;1;
440655,88;4473617,49;15/04/1999;01  CENTRO;01-02 EMBAJADORES;TORRECILLA DEL LEAL, CALLE, DE LA;9;PMR;;1;
440585,45;4473584,71;22/07/2016;01  CENTRO;01-02 EMBAJADORES;TRES PECES, CALLE, DE LOS;6;PMR;;;
440363,74;4473246,41;22/07/2016;01  CENTRO;01-02 EMBAJADORES;TRIBULETE, CALLE, DEL;16;PMR;;;
440567,36;4473231,24;01/12/2004;01  CENTRO;01-02 EMBAJADORES;VALENCIA, CALLE, DE;14;PMR;;1;
440643,07;4473065,17;26/03/2010;01  CENTRO;01-02 EMBAJADORES;VALENCIA, CALLE, DE;Fte 25;PMR;;1;
441013,84;4473631;26/02/2000;01  CENTRO;01-03 CORTES;ALMADEN, CALLE, DE;5;PMR;;1;
440736,7;4473787,4;13/01/2011;01  CENTRO;01-03 CORTES;AMOR DE DIOS, CALLE, DEL;10;PMR;;1;
440697,49;4474275,25;10/11/2005;01  CENTRO;01-03 CORTES;ARLABAN, CALLE, DE;12;PMR;;1;LABORABLES DE 7,30 A 20 H.
441031,19;4473545,32;01/07/2010;01  CENTRO;01-03 CORTES;ATOCHA, CALLE, DE;109;PMR;;1;
440411,88;4474006,12;09/03/2005;01  CENTRO;01-03 CORTES;ESPOZ Y MINA, CALLE, DE;40;PMR;;2;
440971,86;4473928,7;03/05/2011;01  CENTRO;01-03 CORTES;JESUS, PLAZA, DE;5;PMR;;1;
440890,34;4474305,22;18/10/2006;01  CENTRO;01-03 CORTES;JOVELLANOS, CALLE, DE;4;PMR;;1;EN HORARIO DE ESPECTACULOS
440671,38;4473836,79;16/04/2012;01  CENTRO;01-03 CORTES;LEON, CALLE, DEL;28;PMR;;1;
440773,12;4473921,81;03/05/2011;01  CENTRO;01-03 CORTES;LOPE DE VEGA, CALLE, DE;13;PMR;;1;
440943,78;4473907,82;03/06/1996;01  CENTRO;01-03 CORTES;LOPE DE VEGA, CALLE, DE;37;PMR;;2;
440923,9;4474348,65;27/11/2014;01  CENTRO;01-03 CORTES;LOS MADRAZO, CALLE, DE;19;PMR;Línea;1;laborables de8 a 15 h.PTR030581-14 (TRASLADO)
440935,73;4474380,71;15/02/2007;01  CENTRO;01-03 CORTES;MARQUES DE CASA RIERA, CALLE, DEL;4;PMR;;1;
440958;4474160,81;19/04/1996;01  CENTRO;01-03 CORTES;MARQUES DE CUBAS, CALLE, DEL;27;PMR;;1;
440804,24;4474069,72;03/05/2011;01  CENTRO;01-03 CORTES;PRADO, CALLE, DEL;24;PMR;;2;DIAS LABORABLESDE 07:30 A 20 H.
440808,88;4473967,25;21/10/2009;01  CENTRO;01-03 CORTES;QUEVEDO, CALLE, DE;1;PMR;;1;
440878,32;4474051,38;13/07/2009;01  CENTRO;01-03 CORTES;SAN AGUSTIN, CALLE, DE;5;PMR;;1;
441028,69;4474891,01;31/05/2003;01  CENTRO;01-04 JUSTICIA;ALMIRANTE, CALLE, DEL;3;PMR;;1;
441266,62;4474881,97;31/10/2012;01  CENTRO;01-04 JUSTICIA;ALMIRANTE, CALLE, DEL;29;PMR;;1;
440669,37;4475433,58;30/05/2003;01  CENTRO;01-04 JUSTICIA;APODACA, CALLE, DE;15;PMR;;2;LABORABLESDE 8 A 16 H
441012,34;4475131,15;04/01/2000;01  CENTRO;01-04 JUSTICIA;ARGENSOLA, CALLE, DE;1;PMR;;1;
441021,27;4475146,54;05/10/2016;01  CENTRO;01-04 JUSTICIA;ARGENSOLA, CALLE, DE;3;PMR;Línea;1;
441087,45;4475260,66;21/05/2010;01  CENTRO;01-04 JUSTICIA;ARGENSOLA, CALLE, DE;19;PMR;;1;
440774,17;4474868,05;15/04/2014;01  CENTRO;01-04 JUSTICIA;AUGUSTO FIGUEROA, CALLE, DE;31;PMR;Línea;1;
441183,68;4474999,61;28/04/2006;01  CENTRO;01-04 JUSTICIA;BARBARA DE BRAGANZA, CALLE, DE;6;PMR;;1;
441200,24;4474994,35;01/07/2010;01  CENTRO;01-04 JUSTICIA;BARBARA DE BRAGANZA, CALLE, DE;8;PMR;;1;
440660,78;4475377,09;25/03/2015;01  CENTRO;01-04 JUSTICIA;BARCELO, CALLE, DE;11;PMR;Línea;1;
440987,07;4474520,39;04/07/2008;01  CENTRO;01-04 JUSTICIA;BARQUILLO, CALLE, DEL;1;PMR;;1;
440981,84;4474781,86;20/04/2011;01  CENTRO;01-04 JUSTICIA;BARQUILLO, CALLE, DEL;15;PMR;;1;
440894,92;4475083,8;16/12/2015;01  CENTRO;01-04 JUSTICIA;BELEN, CALLE, DE;5;PMR;Línea;2;
441017,22;4475326,91;22/07/2011;01  CENTRO;01-04 JUSTICIA;CAMPOAMOR, CALLE, DE;16;PMR;;1;
440556,53;4475387,97;01/01/1900;01  CENTRO;01-04 JUSTICIA;CHURRUCA, CALLE, DE;5;PMR;;1;
440508,42;4475555,64;27/09/1996;01  CENTRO;01-04 JUSTICIA;CHURRUCA, CALLE, DE;27;PMR;;2;Reservado:[conductores vehículosminusválidos autorizados]laborables de 9 a 14 h y de 16 a 18 h.
440666,43;4474634,06;19/01/2004;01  CENTRO;01-04 JUSTICIA;CLAVEL, CALLE, DEL;6;PMR;;1;
440620,81;4475045,58;24/09/2015;01  CENTRO;01-04 JUSTICIA;FARMACIA, CALLE, DE LA;6;PMR;Línea;1;
440458,64;4475507,1;15/04/2014;01  CENTRO;01-04 JUSTICIA;FUENCARRAL, CALLE, DE;100;PMR;Línea;1;
441146,1;4475241,36;23/07/2003;01  CENTRO;01-04 JUSTICIA;GENERAL CASTAÑOS, CALLE, DEL;11;PMR;;1;
440610,11;4474802,8;07/06/2012;01  CENTRO;01-04 JUSTICIA;HORTALEZA, CALLE, DE;23;PMR;;1;
440664,98;4474899,83;14/01/2016;01  CENTRO;01-04 JUSTICIA;HORTALEZA, CALLE, DE;43;PMR;Línea;1;
440767,04;4474637,96;01/01/1900;01  CENTRO;01-04 JUSTICIA;INFANTAS, CALLE, DE LAS;36;PMR;;1;Reservado:[conductores vehiculosminusvalidos autorizados]
440872,31;4474875,59;29/05/2003;01  CENTRO;01-04 JUSTICIA;LIBERTAD, CALLE, DE LA;35;PMR;;1;
441288,5;4475230,76;17/11/1999;01  CENTRO;01-04 JUSTICIA;MARQUES DE LA ENSENADA, CALLE, DEL;3;PMR;;1;
441148,26;4474940,64;24/01/2011;01  CENTRO;01-04 JUSTICIA;MARQUES DE MONASTERIO, CALLE, DEL;4;PMR;;1;
440867,43;4475118,71;14/01/2008;01  CENTRO;01-04 JUSTICIA;PELAYO, CALLE, DE;68;PMR;;1;
440921,42;4475192,94;14/03/1996;01  CENTRO;01-04 JUSTICIA;PELAYO, CALLE, DE;84;PMR;;1;
440915,72;4474736,52;11/04/2013;01  CENTRO;01-04 JUSTICIA;SAN MARCOS, CALLE, DE;43;PMR;Línea;1;
440643,81;4475111,17;29/01/2007;01  CENTRO;01-04 JUSTICIA;SANTA BRIGIDA, CALLE, DE;10;PMR;;1;
440917,56;4475303,01;22/07/2011;01  CENTRO;01-04 JUSTICIA;SANTA TERESA, CALLE, DE;2;PMR;;1;
440799,03;4475421,45;20/11/2008;01  CENTRO;01-04 JUSTICIA;SERRANO ANGUITA, CALLE, DE;10;PMR;;1;
440698,8;4475503,98;24/09/2014;01  CENTRO;01-04 JUSTICIA;SERRANO ANGUITA, CALLE, DE;18;PMR;Línea;1;
439957,65;4475643,42;15/01/2013;01  CENTRO;01-05 UNIVERSIDAD;ACUERDO, CALLE, DEL;37;PMR;;1;
439971,12;4475679,69;17/02/2017;01  CENTRO;01-05 UNIVERSIDAD;ACUERDO, CALLE, DEL;38;PMR;Línea;1;
439818,85;4475414,59;03/11/2009;01  CENTRO;01-05 UNIVERSIDAD;AMANIEL, CALLE, DE;S/N;PMR;;1;
439943,99;4475003,44;25/09/2014;01  CENTRO;01-05 UNIVERSIDAD;ANTONIO GRILO, CALLE, DE;8;PMR;Línea;1;
439841,2;4475118,55;29/05/2003;01  CENTRO;01-05 UNIVERSIDAD;CONDE DE TORENO, PLAZA, DEL;5;PMR;;1;
439659,12;4475304,83;03/03/2009;01  CENTRO;01-05 UNIVERSIDAD;CONDE DUQUE, CALLE, DEL;5;PMR;;1;
440232,93;4474738,12;08/07/2011;01  CENTRO;01-05 UNIVERSIDAD;DESENGAÑO, CALLE, DEL;Fte 13;PMR;;1;
440251,02;4474735,79;01/12/2004;01  CENTRO;01-05 UNIVERSIDAD;DESENGAÑO, CALLE, DEL;Fte 13;PMR;;1;
440182,66;4475483,35;30/03/2017;01  CENTRO;01-05 UNIVERSIDAD;DIVINO PASTOR, CALLE, DEL;26;PMR;Línea;1;
440428,45;4475429,5;28/01/2002;01  CENTRO;01-05 UNIVERSIDAD;DIVINO PASTOR, CALLE, DEL;Fte 5;PMR;;1;
440262,49;4475266,44;25/02/2017;01  CENTRO;01-05 UNIVERSIDAD;DOS DE MAYO, CALLE, DEL;2;PMR;Línea;1;
440267,49;4475302,37;25/02/2017;01  CENTRO;01-05 UNIVERSIDAD;DOS DE MAYO, CALLE, DEL;8;PMR;Línea;2;
440296,12;4475216,86;26/01/2007;01  CENTRO;01-05 UNIVERSIDAD;ESPIRITU SANTO, CALLE, DEL;28;PMR;;1;
440178,31;4475235,59;31/03/2016;01  CENTRO;01-05 UNIVERSIDAD;ESPIRITU SANTO, CALLE, DEL;40;PMR;Línea;1;
440292,09;4475133,13;21/10/2000;01  CENTRO;01-05 UNIVERSIDAD;JESUS DEL VALLE, CALLE, DE;26;PMR;;1;
440310,39;4475148,6;02/08/2007;01  CENTRO;01-05 UNIVERSIDAD;JESUS DEL VALLE, CALLE, DE;30;PMR;;1;
439767,26;4475222,31;10/04/1997;01  CENTRO;01-05 UNIVERSIDAD;JUAN DE DIOS, CALLE, DE;4;PMR;;1;
440244,39;4475139,27;01/01/1900;01  CENTRO;01-05 UNIVERSIDAD;MARQUES DE SANTA ANA, CALLE, DEL;20;PMR;;1;Reservado:[vehículos minusválidosautorizados]
440373,6;4475060,24;19/04/2004;01  CENTRO;01-05 UNIVERSIDAD;MOLINO DE VIENTO, CALLE, DEL;21;PMR;;1;
439863,28;4475492,94;17/07/2001;01  CENTRO;01-05 UNIVERSIDAD;MONTSERRAT, CALLE, DEL;13;PMR;;3;
439824,77;4475495,02;17/07/2001;01  CENTRO;01-05 UNIVERSIDAD;MONTSERRAT, CALLE, DEL;30;PMR;;2;
440074,56;4475505,09;09/09/1998;01  CENTRO;01-05 UNIVERSIDAD;MONTSERRAT, CALLE, DEL;Fte 2;PMR;;1;EXCEPTO SUBIDA YBAJADA DE MINUSVALIDOS
439999,34;4475319,58;22/12/1999;01  CENTRO;01-05 UNIVERSIDAD;NORTE, CALLE, DEL;10;PMR;;1;LABORABLESDE 9 A 20 H
439925,04;4475243,82;03/06/2014;01  CENTRO;01-05 UNIVERSIDAD;NOVICIADO, CALLE, DEL;5:00 AM;PMR;Línea;1;
439977,97;4475360,69;29/07/2015;01  CENTRO;01-05 UNIVERSIDAD;PALMA, CALLE, DE LA;58;PMR;;;
440192,32;4475006,96;01/01/1900;01  CENTRO;01-05 UNIVERSIDAD;PEZ, CALLE, DEL;14;PMR;;1;
440127,89;4475051,46;05/11/1999;01  CENTRO;01-05 UNIVERSIDAD;PEZ, CALLE, DEL;26;PMR;;1;
440318,01;4474858,09;19/08/2013;01  CENTRO;01-05 UNIVERSIDAD;PUEBLA, CALLE, DE LA;13;PMR;Línea;1;
440012,82;4475443,05;25/01/2017;01  CENTRO;01-05 UNIVERSIDAD;QUIÑONES, CALLE, DE;4;PMR;Línea;1;
439867,45;4475090,33;01/07/2010;01  CENTRO;01-05 UNIVERSIDAD;REYES, CALLE, DE LOS;7;PMR;;1;
439792,24;4475056,57;20/02/2001;01  CENTRO;01-05 UNIVERSIDAD;REYES, CALLE, DE LOS;15;PMR;;1;
440286,07;4475472,99;18/03/2011;01  CENTRO;01-05 UNIVERSIDAD;RUIZ, CALLE, DE;5;PMR;;1;
440315,3;4475440,02;30/03/2009;01  CENTRO;01-05 UNIVERSIDAD;SAN ANDRES, CALLE, DE;17;PMR;;1;
439978,2;4474912,89;15/04/2014;01  CENTRO;01-05 UNIVERSIDAD;SAN BERNARDO, CALLE, DE;20;PMR;Línea;1;
439988,68;4474977,96;06/06/2017;01  CENTRO;01-05 UNIVERSIDAD;SAN BERNARDO, CALLE, DE;24;PMR;Línea;1;lab. de 8 a 14 h. y de 16,30 a 19 h. excepto: [CARGA Y DESCARGA]
440040;4475312,07;07/10/2011;01  CENTRO;01-05 UNIVERSIDAD;SAN BERNARDO, CALLE, DE;64;PMR;;1;DE LUNES A JUEVES DE 8 A 17 H. Y VIERNESDE 8 A 15 H.
439985,77;4475538,72;11/05/2009;01  CENTRO;01-05 UNIVERSIDAD;SAN HERMENEGILDO, CALLE, DE;7;PMR;;1;
439890,75;4475537,45;27/10/2015;01  CENTRO;01-05 UNIVERSIDAD;SAN HERMENEGILDO, CALLE, DE;19;PMR;Línea;2;
439693,5;4475148,64;01/07/2010;01  CENTRO;01-05 UNIVERSIDAD;SAN LEONARDO, CALLE, DE;8;PMR;;1;
440140,7;4475324,41;25/02/2017;01  CENTRO;01-05 UNIVERSIDAD;SAN VICENTE, COSTANILLA, DE;8;PMR;Línea;1;
439997,93;4475591,47;19/04/2004;01  CENTRO;01-05 UNIVERSIDAD;SANTA CRUZ DE MARCENADO, CALLE, DE;1;PMR;;1;
439847,36;4475588,37;13/04/2005;01  CENTRO;01-05 UNIVERSIDAD;SANTA CRUZ DE MARCENADO, CALLE, DE;17;PMR;;1;
440202,92;4475179,18;05/03/2002;01  CENTRO;01-05 UNIVERSIDAD;TESORO, CALLE, DEL;10;PMR;;1;
440219,23;4474561,95;01/12/2004;01  CENTRO;01-06 SOL;ABADA, CALLE, DE LA;9;PMR;;2;
440115,28;4474275,92;15/11/2010;01  CENTRO;01-06 SOL;ARENAL, TRAVESIA, DEL;4;PMR;;1;
439998,06;4474311,63;05/07/2013;01  CENTRO;01-06 SOL;BORDADORES, CALLE, DE LOS;13;PMR;Línea;2;LAB. DE 7,15 A 20,15 H
440334,49;4474131,78;03/01/2001;01  CENTRO;01-06 SOL;CARRETAS, CALLE, DE LAS;8;PMR;;1;
440150,52;4474098,77;12/08/2013;01  CENTRO;01-06 SOL;ESPARTEROS, CALLE, DE;13;PMR;Línea;1;
439880,02;4474310,32;23/12/1999;01  CENTRO;01-06 SOL;FUENTES, CALLE, DE LAS;8;PMR;;1;
439925,71;4474299,1;18/06/2003;01  CENTRO;01-06 SOL;HILERAS, CALLE, DE LAS;8;PMR;;1;
440092,76;4474207,22;27/12/2012;01  CENTRO;01-06 SOL;MAYOR, CALLE;11;PMR;Línea;1;
439881,84;4474182,16;01/07/2010;01  CENTRO;01-06 SOL;MAYOR, CALLE;42;PMR;;1;
440384,37;4474418,14;11/08/2015;01  CENTRO;01-06 SOL;SAN ALBERTO, CALLE, DE;1;PMR;Línea;2;
439984,26;4474524,84;11/11/1997;01  CENTRO;01-06 SOL;VENERAS, CALLE, DE LAS;1;PMR;;1;
438966,02;4473121,31;14/12/2009;02  ARGANZUELA;02-01 IMPERIAL;COBOS DE SEGOVIA, CALLE, DE;8;PMR;;1;
438970,87;4473086,79;05/05/2010;02  ARGANZUELA;02-01 IMPERIAL;COBOS DE SEGOVIA, CALLE, DE;12;PMR;;1;
439393,43;4472804,5;22/01/1996;02  ARGANZUELA;02-01 IMPERIAL;DOCTOR VALLEJO NAGERA, PASEO, DEL;46;PMR;;2;
439345,04;4472831,46;27/06/2003;02  ARGANZUELA;02-01 IMPERIAL;DOCTOR VALLEJO NAGERA, PASEO, DEL;50;PMR;;1;
438836,34;4472741,18;06/09/2013;02  ARGANZUELA;02-01 IMPERIAL;DUQUE DE TOVAR, CALLE, DEL;S/N;PMR;Batería;22;EN DIAS DE ESPECTACULOS (CON TAPA Y CANDADO)
438964,47;4473067,51;04/12/2008;02  ARGANZUELA;02-01 IMPERIAL;ETREROS, CALLE, DE;2;PMR;;;
439098,77;4473418,08;04/08/2001;02  ARGANZUELA;02-01 IMPERIAL;IMPERIAL, PASEO;10;PMR;;1;
439142,21;4473251,03;26/03/2015;02  ARGANZUELA;02-01 IMPERIAL;IMPERIAL, PASEO;20;PMR;Línea;1;
439164,62;4473164,78;16/10/2003;02  ARGANZUELA;02-01 IMPERIAL;IMPERIAL, PASEO;22;PMR;;2;RESERVADO VEHICULOSMINUSVALIDOS AUTORIZADOSDE 9 A 20 H.
439223,41;4472940,5;05/10/2010;02  ARGANZUELA;02-01 IMPERIAL;IMPERIAL, PASEO;28;PMR;;1;
439327,89;4472550,44;16/12/2002;02  ARGANZUELA;02-01 IMPERIAL;IMPERIAL, PASEO;52;PMR;;1;
438952,68;4473549,9;05/03/2010;02  ARGANZUELA;02-01 IMPERIAL;JUAN DUQUE, CALLE, DE;33;PMR;;1;
438949,86;4473472,28;17/05/2011;02  ARGANZUELA;02-01 IMPERIAL;JUAN DUQUE, CALLE, DE;39;PMR;;1;
438941,26;4473464,19;07/02/2014;02  ARGANZUELA;02-01 IMPERIAL;JUAN DUQUE, CALLE, DE;40;PMR;Línea;1;
438940,22;4473440,74;18/03/2011;02  ARGANZUELA;02-01 IMPERIAL;JUAN DUQUE, CALLE, DE;42;PMR;;1;
438956,39;4473649,5;04/05/2010;02  ARGANZUELA;02-01 IMPERIAL;JUAN DUQUE, CALLE, DE;27A;PMR;;1;
