"dc:identifier";"dc:modified";"id";"lpgc:NOMBRE_VIA";"lpgc:PARTICULA";"lpgc:TIPO_VIA";"lpgc:TRAMO_VIA"
"2903";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2903";"NUEVA";" ";"CALLE";"2903"
"4883";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4883";"SALOM, SARGENTO";" ";"CALLE";"4883"
"5098";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/5098";"SALOM, SARGENTO";" ";"CALLE";"5098"
"2908";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2908";"AMANECER";" ";"CALLE";"2908"
"6664";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/6664";"CUEVAS BLANCAS";" ";"LUGAR";"6664"
"2912";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2912";"CALZADA LATERAL DEL NORTE";" ";"CALLE";"2912"
"2911";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2911";"CALZADA LATERAL DEL NORTE";" ";"CALLE";"2911"
"2917";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2917";"TENESOYA VIDINA";" ";"CALLE";"2917"
"2918";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2918";"SAN GERMAN";" ";"CALLE";"2918"
"2916";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2916";"SAN GERMAN";" ";"CALLE";"2916"
"2919";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2919";"SAN IGNACIO";" ";"CALLE";"2919"
"4452";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4452";"ALMATRICHE";"DE";"CTRA";"4452"
"4443";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4443";"ALMATRICHE";"DE";"CTRA";"4443"
"4442";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4442";"ALMATRICHE";"DE";"CTRA";"4442"
"4441";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4441";"ALMATRICHE";"DE";"CTRA";"4441"
"2921";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2921";"DEHESA";"LA";"CALLE";"2921"
"6377";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/6377";"GUILLENA";"LA";"CALLE";"6377"
"2920";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2920";"GUILLENA";"LA";"CALLE";"2920"
