route_id, service_id, trip_id, trip_headsign, trip_short_name, direction_id, wheelchair_accessible
8__828___,123_8__828___,123_8__828___-8__828____1_15:05:00_1_-__3_8__828___,IVÁN PAVLOV-RECTORADO,lv 828 ALCOBENDAS-U.AUTONOMA,0,0
9__3__006_,77_9__3__006_,77_9__3__006_-9__3__006__3_15:50:00_2_-__12_9__3__006_,AV.ERMITA-EST.LA MORALEJA,3 CIRCULAR (A.Vega-Soto-Encinar),1,0
8__171___,2_8__171___,2_8__171___-8__171____1_07:10:00_2_cc_ _9_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
9__1__006_,804_9__1__006_,804_9__1__006_-9__1__006__1_08:00:00_1_-__3_9__1__006_,CAMINO HUERTA-CºANCHO,1 CIRCULAR (A.Vega-Soto-Moraleja),0,0
8__171___,2_8__171___,2_8__171___-8__171____3_09:00:00_2_-__4_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
8__171___,5_8__171___,5_8__171___-8__171____2_18:30:00_2_-__21_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
9__3__006_,77_9__3__006_,77_9__3__006_-9__3__006__3_16:30:00_2_-__13_9__3__006_,AV.ERMITA-EST.LA MORALEJA,3 CIRCULAR (A.Vega-Soto-Encinar),1,0
8__171___,6_8__171___,6_8__171___-8__171____1_09:40:00_1_-__15_8__171___,AV.GUADALIX-CENTRO COMERCIAL,171 URB. SANTO DOMINGO,0,0
9__1__006_,105_9__1__006_,105_9__1__006_-9__1__006__1_17:20:00_1_-__17_9__1__006_,CAMINO HUERTA-CºANCHO,1 CIRCULAR (A.Vega-Soto-Moraleja),0,0
9__1__006_,705_9__1__006_,705_9__1__006_-9__1__006__1_20:40:00_1_-__22_9__1__006_,CAMINO HUERTA-CºANCHO,1 CIRCULAR (A.Vega-Soto-Moraleja),0,0
9__3__006_,76_9__3__006_,76_9__3__006_-9__3__006__3_13:00:00_1_-__11_9__3__006_,PºPARQUES-CTRA.A1,3 CIRCULAR (A.Vega-Soto-Encinar),0,0
8__171___,1_8__171___,1_8__171___-8__171____1_07:35:00_2_cc_ _10_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
8__171___,2_8__171___,2_8__171___-8__171____1_18:00:00_1_-__37_8__171___,AV.GUADALIX-CENTRO COMERCIAL,171 URB. SANTO DOMINGO,0,0
9__1__006_,805_9__1__006_,805_9__1__006_-9__1__006__1_20:40:00_1_-__22_9__1__006_,CAMINO HUERTA-CºANCHO,1 CIRCULAR (A.Vega-Soto-Moraleja),0,0
8__171___,1_8__171___,1_8__171___-8__171____3_13:10:00_1_-__7_8__171___,AV.GUADALIX-CENTRO DE SALUD,Termina en Av. Guadalix Centro de Salud,0,0
8__171___,6_8__171___,6_8__171___-8__171____1_11:30:00_1_-__20_8__171___,AV.GUADALIX-CENTRO COMERCIAL,171 URB. SANTO DOMINGO,0,0
8__171___,3_8__171___,3_8__171___-8__171____2_10:00:00_1_-__6_8__171___,AV.GUADALIX-CENTRO COMERCIAL,171 URB. SANTO DOMINGO,0,0
9__2__006_,712_9__2__006_,712_9__2__006_-9__2__006__1_16:10:00_2_-__12_9__2__006_,PºCHOPERA-AV.CAMILO JOSÉ CELA,lv 2 ALCOBENDAS,1,0
9__3__006_,77_9__3__006_,77_9__3__006_-9__3__006__3_21:40:00_1_-__24_9__3__006_,PºPARQUES-CTRA.A1,3 CIRCULAR (A.Vega-Soto-Encinar),0,0
9__1__006_,804_9__1__006_,804_9__1__006_-9__1__006__1_13:20:00_1_-__11_9__1__006_,CAMINO HUERTA-CºANCHO,1 CIRCULAR (A.Vega-Soto-Moraleja),0,0
9__3__006_,76_9__3__006_,76_9__3__006_-9__3__006__3_10:30:00_2_-__4_9__3__006_,AV.ERMITA-EST.LA MORALEJA,3 CIRCULAR (A.Vega-Soto-Encinar),1,0
9__1__006_,105_9__1__006_,105_9__1__006_-9__1__006__1_18:40:00_1_-__19_9__1__006_,CAMINO HUERTA-CºANCHO,1 CIRCULAR (A.Vega-Soto-Moraleja),0,0
8__171___,7_8__171___,7_8__171___-8__171____1_17:15:00_2_uc__38_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,Hasta/desde Urb. Ciudalcampo,1,0
9__2__006_,701_9__2__006_,701_9__2__006_-9__2__006__1_08:30:00_2_-_a._10_9__2__006_,PºCHOPERA-AV.CAMILO JOSÉ CELA,lv 2 ALCOBENDAS,1,0
8__828___,116_8__828___,116_8__828___-8__828____1_17:55:00_2_-__7_8__828___,CANILLEJAS-AREA INTERMODAL,lv 828 MADRID(Canillejas),1,0
9__2__006_,109_9__2__006_,109_9__2__006_-9__2__006__1_08:30:00_2_-_a._10_9__2__006_,PºCHOPERA-AV.CAMILO JOSÉ CELA,lv 2 ALCOBENDAS,1,0
8__171___,1_8__171___,1_8__171___-8__171____1_08:35:00_1_-__11_8__171___,AV.GUADALIX-CENTRO COMERCIAL,171 URB. SANTO DOMINGO,0,0
8__171___,5_8__171___,5_8__171___-8__171____3_19:30:00_2_-__14_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
9__1__006_,705_9__1__006_,705_9__1__006_-9__1__006__1_14:00:00_1_-__12_9__1__006_,CAMINO HUERTA-CºANCHO,1 CIRCULAR (A.Vega-Soto-Moraleja),0,0
9__2__006_,112_9__2__006_,112_9__2__006_-9__2__006__1_13:45:00_1_-__10_9__2__006_,AV.LA VEGA-C.C.LA VEGA,lv 2 LA MORALEJA,0,0
9__2__006_,110_9__2__006_,110_9__2__006_-9__2__006__1_16:50:00_1_-__7_9__2__006_,AV.LA VEGA-C.C.LA VEGA,lv 2 LA MORALEJA,0,0
9__3__006_,77_9__3__006_,77_9__3__006_-9__3__006__3_17:00:00_1_-__17_9__3__006_,PºPARQUES-CTRA.A1,3 CIRCULAR (A.Vega-Soto-Encinar),0,0
9__1__006_,104_9__1__006_,104_9__1__006_-9__1__006__1_13:20:00_1_-__11_9__1__006_,CAMINO HUERTA-CºANCHO,1 CIRCULAR (A.Vega-Soto-Moraleja),0,0
8__171___,2_8__171___,2_8__171___-8__171____2_08:30:00_2_-__5_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
8__171___,3_8__171___,3_8__171___-8__171____3_17:00:00_1_-__11_8__171___,AV.GUADALIX-CENTRO COMERCIAL,171 URB. SANTO DOMINGO,0,0
8__171___,1_8__171___,1_8__171___-8__171____2_10:30:00_1_-__7_8__171___,AV.GUADALIX-CENTRO COMERCIAL,171 URB. SANTO DOMINGO,0,0
8__171___,13_8__171___,13_8__171___-8__171____1_21:30:00_1_-__50_8__171___,AV.GUADALIX-CENTRO DE SALUD,Termina en Av. Guadalix Centro de Salud,0,0
9__3__006_,77_9__3__006_,77_9__3__006_-9__3__006__3_17:50:00_2_-__15_9__3__006_,AV.ERMITA-EST.LA MORALEJA,3 CIRCULAR (A.Vega-Soto-Encinar),1,0
8__171___,9_8__171___,9_8__171___-8__171____1_19:10:00_1_-__42_8__171___,AV.GUADALIX-CENTRO COMERCIAL,171 URB. SANTO DOMINGO,0,0
9__3__006_,76_9__3__006_,76_9__3__006_-9__3__006__3_14:30:00_2_-__10_9__3__006_,AV.ERMITA-EST.LA MORALEJA,3 CIRCULAR (A.Vega-Soto-Encinar),1,0
8__171___,3_8__171___,3_8__171___-8__171____1_06:15:00_2_cc_ _2_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
8__171___,2_8__171___,2_8__171___-8__171____3_07:10:00_2_-__2_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
8__171___,8_8__171___,8_8__171___-8__171____1_09:00:00_2_cc_ _16_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
9__1__006_,104_9__1__006_,104_9__1__006_-9__1__006__1_12:00:00_1_-__9_9__1__006_,CAMINO HUERTA-CºANCHO,1 CIRCULAR (A.Vega-Soto-Moraleja),0,0
9__3__006_,77_9__3__006_,77_9__3__006_-9__3__006__3_21:50:00_2_-__21_9__3__006_,AV.ERMITA-EST.LA MORALEJA,3 CIRCULAR (A.Vega-Soto-Encinar),1,0
8__171___,2_8__171___,2_8__171___-8__171____2_11:10:00_1_-__8_8__171___,AV.GUADALIX-CENTRO COMERCIAL,171 URB. SANTO DOMINGO,0,0
8__171___,1_8__171___,1_8__171___-8__171____2_07:50:00_2_-__4_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
8__171___,11_8__171___,11_8__171___-8__171____1_15:00:00_2_cc_ _30_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
9__1__006_,104_9__1__006_,104_9__1__006_-9__1__006__1_07:20:00_1_-__2_9__1__006_,CAMINO HUERTA-CºANCHO,1 CIRCULAR (A.Vega-Soto-Moraleja),0,0
8__171___,12_8__171___,12_8__171___-8__171____1_18:30:00_1_-__39_8__171___,AV.GUADALIX-CENTRO COMERCIAL,171 URB. SANTO DOMINGO,0,0
8__171___,14_8__171___,14_8__171___-8__171____1_07:50:00_1_-__7_8__171___,AV.GUADALIX-CENTRO DE SALUD,Termina en Av. Guadalix Centro de Salud,0,0
8__171___,7_8__171___,7_8__171___-8__171____1_08:55:00_1_-__12_8__171___,AV.GUADALIX-CENTRO DE SALUD,Termina en Av. Guadalix Centro de Salud,0,0
9__3__006_,76_9__3__006_,76_9__3__006_-9__3__006__3_14:20:00_1_-__13_9__3__006_,PºPARQUES-CTRA.A1,3 CIRCULAR (A.Vega-Soto-Encinar),0,0
8__171___,10_8__171___,10_8__171___-8__171____1_13:55:00_2_cc_ _27_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
8__171___,9_8__171___,9_8__171___-8__171____1_16:35:00_2_cc_ _35_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
9__1__006_,705_9__1__006_,705_9__1__006_-9__1__006__1_15:20:00_1_-__14_9__1__006_,CAMINO HUERTA-CºANCHO,1 CIRCULAR (A.Vega-Soto-Moraleja),0,0
9__1__006_,805_9__1__006_,805_9__1__006_-9__1__006__1_15:20:00_1_-__14_9__1__006_,CAMINO HUERTA-CºANCHO,1 CIRCULAR (A.Vega-Soto-Moraleja),0,0
9__3__006_,77_9__3__006_,77_9__3__006_-9__3__006__3_18:20:00_1_-__19_9__3__006_,PºPARQUES-CTRA.A1,3 CIRCULAR (A.Vega-Soto-Encinar),0,0
8__171___,8_8__171___,8_8__171___-8__171____1_14:50:00_2_cc_ _29_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
8__171___,3_8__171___,3_8__171___-8__171____3_16:00:00_2_-__11_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
9__3__006_,76_9__3__006_,76_9__3__006_-9__3__006__3_11:40:00_1_-__9_9__3__006_,PºPARQUES-CTRA.A1,3 CIRCULAR (A.Vega-Soto-Encinar),0,0
8__171___,10_8__171___,10_8__171___-8__171____1_19:50:00_2_cc_ _48_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
9__1__006_,804_9__1__006_,804_9__1__006_-9__1__006__1_10:00:00_1_-__6_9__1__006_,CAMINO HUERTA-CºANCHO,1 CIRCULAR (A.Vega-Soto-Moraleja),0,0
8__171___,1_8__171___,1_8__171___-8__171____2_13:30:00_2_-__13_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
9__2__006_,125_9__2__006_,125_9__2__006_-9__2__006__1_09:05:00_2_-__1_9__2__006_,PºCHOPERA-AV.CAMILO JOSÉ CELA,lv 2 ALCOBENDAS,1,0
9__3__006_,77_9__3__006_,77_9__3__006_-9__3__006__3_17:10:00_2_-__14_9__3__006_,AV.ERMITA-EST.LA MORALEJA,3 CIRCULAR (A.Vega-Soto-Encinar),1,0
8__171___,4_8__171___,4_8__171___-8__171____2_18:00:00_2_-__20_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
9__2__006_,711_9__2__006_,711_9__2__006_-9__2__006__1_07:10:00_1_-__2_9__2__006_,AV.LA VEGA-C.C.LA VEGA,lv 2 LA MORALEJA,0,0
8__171___,13_8__171___,13_8__171___-8__171____1_20:35:00_2_cc_ _50_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
8__171___,3_8__171___,3_8__171___-8__171____1_17:10:00_1_-__33_8__171___,AV.GUADALIX-CENTRO COMERCIAL,171 URB. SANTO DOMINGO,0,0
8__171___,1_8__171___,1_8__171___-8__171____1_12:05:00_1_-__21_8__171___,AV.GUADALIX-CENTRO COMERCIAL,171 URB. SANTO DOMINGO,0,0
8__171___,11_8__171___,11_8__171___-8__171____1_19:45:00_1_-__44_8__171___,AV.GUADALIX-CENTRO DE SALUD,Termina en Av. Guadalix Centro de Salud,0,0
8__171___,3_8__171___,3_8__171___-8__171____1_19:00:00_1_-__41_8__171___,AV.GUADALIX-CENTRO DE SALUD,Termina en Av. Guadalix Centro de Salud,0,0
9__2__006_,109_9__2__006_,109_9__2__006_-9__2__006__1_09:40:00_2_-__7_9__2__006_,PºCHOPERA-AV.CAMILO JOSÉ CELA,lv 2 ALCOBENDAS,1,0
9__2__006_,712_9__2__006_,712_9__2__006_-9__2__006__1_16:50:00_1_-__7_9__2__006_,AV.LA VEGA-C.C.LA VEGA,lv 2 LA MORALEJA,0,0
8__171___,13_8__171___,13_8__171___-8__171____1_19:25:00_1_-__43_8__171___,AV.GUADALIX-CENTRO COMERCIAL,171 URB. SANTO DOMINGO,0,0
8__171___,3_8__171___,3_8__171___-8__171____1_08:15:00_1_a.__9_8__171___,AV.GUADALIX-CENTRO DE SALUD,Sólo desde Alcobendas y S.S. de los Reyes,0,0
9__1__006_,805_9__1__006_,805_9__1__006_-9__1__006__1_21:20:00_1_-__23_9__1__006_,CAMINO HUERTA-CºANCHO,1 CIRCULAR (A.Vega-Soto-Moraleja),0,0
9__1__006_,704_9__1__006_,704_9__1__006_-9__1__006__1_14:00:00_1_-__12_9__1__006_,CAMINO HUERTA-CºANCHO,1 CIRCULAR (A.Vega-Soto-Moraleja),0,0
8__171___,2_8__171___,2_8__171___-8__171____1_08:15:00_1_-__10_8__171___,AV.GUADALIX-CENTRO DE SALUD,Termina en Av. Guadalix Centro de Salud,0,0
9__1__006_,805_9__1__006_,805_9__1__006_-9__1__006__1_16:40:00_1_-__16_9__1__006_,CAMINO HUERTA-CºANCHO,1 CIRCULAR (A.Vega-Soto-Moraleja),0,0
8__171___,8_8__171___,8_8__171___-8__171____1_15:40:00_1_-__29_8__171___,AV.GUADALIX-CENTRO DE SALUD,Termina en Av. Guadalix Centro de Salud,0,0
9__1__006_,705_9__1__006_,705_9__1__006_-9__1__006__1_18:40:00_1_-__19_9__1__006_,CAMINO HUERTA-CºANCHO,1 CIRCULAR (A.Vega-Soto-Moraleja),0,0
8__171___,2_8__171___,2_8__171___-8__171____1_21:50:00_1_-__51_8__171___,AV.GUADALIX-CENTRO DE SALUD,Termina en Av. Guadalix Centro de Salud,0,0
8__171___,15_8__171___,15_8__171___-8__171____1_23:00:00_2_cc_v._54_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
9__3__006_,76_9__3__006_,76_9__3__006_-9__3__006__3_13:50:00_2_-__9_9__3__006_,AV.ERMITA-EST.LA MORALEJA,3 CIRCULAR (A.Vega-Soto-Encinar),1,0
8__171___,2_8__171___,2_8__171___-8__171____3_13:00:00_2_-__8_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
8__171___,1_8__171___,1_8__171___-8__171____3_11:10:00_1_-__5_8__171___,AV.GUADALIX-CENTRO COMERCIAL,171 URB. SANTO DOMINGO,0,0
9__1__006_,104_9__1__006_,104_9__1__006_-9__1__006__1_14:00:00_1_-__12_9__1__006_,CAMINO HUERTA-CºANCHO,1 CIRCULAR (A.Vega-Soto-Moraleja),0,0
8__171___,1_8__171___,1_8__171___-8__171____2_08:40:00_1_-__4_8__171___,AV.GUADALIX-CENTRO COMERCIAL,171 URB. SANTO DOMINGO,0,0
8__171___,6_8__171___,6_8__171___-8__171____2_19:00:00_2_-__22_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
8__171___,9_8__171___,9_8__171___-8__171____1_21:40:00_2_cc_ _53_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
9__2__006_,711_9__2__006_,711_9__2__006_-9__2__006__1_08:35:00_2_-__4_9__2__006_,PºCHOPERA-AV.CAMILO JOSÉ CELA,lv 2 ALCOBENDAS,1,0
8__171___,15_8__171___,15_8__171___-8__171____1_00:00:00_1_-_v._54_8__171___,AV.GUADALIX-CENTRO DE SALUD,Termina en Av. Guadalix Centro de Salud,0,0
8__171___,2_8__171___,2_8__171___-8__171____2_12:15:00_2_-__11_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
9__3__006_,77_9__3__006_,77_9__3__006_-9__3__006__3_22:20:00_1_-__25_9__3__006_,PºPARQUES-CTRA.A1,3 CIRCULAR (A.Vega-Soto-Encinar),0,0
8__171___,8_8__171___,8_8__171___-8__171____1_07:00:00_2_cc_ _8_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
8__171___,13_8__171___,13_8__171___-8__171____1_14:30:00_2_cc_ _28_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
9__3__006_,77_9__3__006_,77_9__3__006_-9__3__006__3_22:30:00_2_-__22_9__3__006_,AV.ERMITA-EST.LA MORALEJA,3 CIRCULAR (A.Vega-Soto-Encinar),1,0
8__171___,7_8__171___,7_8__171___-8__171____1_18:15:00_1_-__38_8__171___,AV.GUADALIX-CENTRO COMERCIAL,171 URB. SANTO DOMINGO,0,0
9__3__006_,77_9__3__006_,77_9__3__006_-9__3__006__3_17:40:00_1_-__18_9__3__006_,PºPARQUES-CTRA.A1,3 CIRCULAR (A.Vega-Soto-Encinar),0,0
8__828___,123_8__828___,123_8__828___-8__828____1_13:05:00_1_-__2_8__828___,IVÁN PAVLOV-RECTORADO,lv 828 ALCOBENDAS-U.AUTONOMA,0,0
8__171___,7_8__171___,7_8__171___-8__171____1_07:00:00_1_-__2_8__171___,AV.GUADALIX-CENTRO COMERCIAL,171 URB. SANTO DOMINGO,0,0
9__1__006_,704_9__1__006_,704_9__1__006_-9__1__006__1_11:20:00_1_-__8_9__1__006_,CAMINO HUERTA-CºANCHO,1 CIRCULAR (A.Vega-Soto-Moraleja),0,0
9__2__006_,711_9__2__006_,711_9__2__006_-9__2__006__1_09:20:00_1_-__5_9__2__006_,AV.LA VEGA-C.C.LA VEGA,lv 2 LA MORALEJA,0,0
9__2__006_,709_9__2__006_,709_9__2__006_-9__2__006__1_09:05:00_2_-__1_9__2__006_,PºCHOPERA-AV.CAMILO JOSÉ CELA,lv 2 ALCOBENDAS,1,0
8__171___,8_8__171___,8_8__171___-8__171____1_13:55:00_1_-__25_8__171___,AV.GUADALIX-CENTRO COMERCIAL,171 URB. SANTO DOMINGO,0,0
8__171___,6_8__171___,6_8__171___-8__171____1_12:20:00_2_cc_ _23_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
8__828___,121_8__828___,121_8__828___-8__828____1_06:45:00_2_a.__2_8__828___,CANILLEJAS-AREA INTERMODAL,Hasta/desde Alcobendas,1,0
8__828___,123_8__828___,123_8__828___-8__828____1_09:55:00_2_-__3_8__828___,CANILLEJAS-AREA INTERMODAL,lv 828 MADRID(Canillejas),1,0
8__171___,4_8__171___,4_8__171___-8__171____1_07:15:00_1_-__4_8__171___,AV.GUADALIX-CENTRO COMERCIAL,171 URB. SANTO DOMINGO,0,0
9__1__006_,104_9__1__006_,104_9__1__006_-9__1__006__1_10:40:00_1_-__7_9__1__006_,CAMINO HUERTA-CºANCHO,1 CIRCULAR (A.Vega-Soto-Moraleja),0,0
9__1__006_,805_9__1__006_,805_9__1__006_-9__1__006__1_16:00:00_1_-__15_9__1__006_,CAMINO HUERTA-CºANCHO,1 CIRCULAR (A.Vega-Soto-Moraleja),0,0
8__171___,4_8__171___,4_8__171___-8__171____2_16:00:00_2_-__17_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
8__171___,10_8__171___,10_8__171___-8__171____1_16:40:00_1_-__32_8__171___,AV.GUADALIX-CENTRO COMERCIAL,171 URB. SANTO DOMINGO,0,0
9__1__006_,104_9__1__006_,104_9__1__006_-9__1__006__1_10:00:00_1_-__6_9__1__006_,CAMINO HUERTA-CºANCHO,1 CIRCULAR (A.Vega-Soto-Moraleja),0,0
