VIA_TYPE;VIA_INFIXE;VIA_NAME;VIA_NAME_WITH_ACCENT;DISTRIT_CODE;NEIGHB_CODE
PASEO;DE LOS;ALABARDEROS;ALABARDEROS;10;5
CALLE;DEL;ALABASTRO;ALABASTRO;2;5
CALLE;DE LA;ALADIERNA;ALADIERNA;17;1
CALLE;DE;ALAGON;ALAGÓN;21;4
CALLE;DE;ALAJATE;ALAJATE;12;3
CALLE;DEL;ALAMBIQUE;ALAMBIQUE;20;4
CALLE;DE LA;ALAMEDA;ALAMEDA;1;3
CALLE;DE LA;ALAMEDA DE LA FUENTE;ALAMEDA DE LA FUENTE;19;1
PASEO;DE LA;ALAMEDA DE OSUNA;ALAMEDA DE OSUNA;16;1
CALLE;DE;ALAMEDA DEL VALLE;ALAMEDA DEL VALLE;21;1
CALLE;DE;ALAMEDILLA;ALAMEDILLA;18;3
PASEO;DE LAS;ALAMEDILLAS;ALAMEDILLAS;2;7
PASEO;DE LAS;ALAMEDILLAS;ALAMEDILLAS;8;6
CALLE;DEL;ALAMILLO;ALAMILLO;1;1
PLAZA;DEL;ALAMILLO;ALAMILLO;1;1
CALLE;DEL;ALAMO;ÁLAMO;1;5
PUENTE;DEL;ALAMO NEGRO;ÁLAMO NEGRO;13;4
CALLE;DE;ALAN TURING;ALAN TURING;21;4
CALLE;DE;ALANIS;ALANIS;21;4
CALLE;DE;ALAR DEL REY;ALAR DEL REY;11;3
CALLE;DE;ALARICO;ALARICO;21;4
CALLE;DE;ALARO;ALARÓ;21;4
TRAVESIA;DE;ALARO;ALARÓ;21;4
CALLE;DE LAS;ALAS;ALAS;5;6
CALLE;DEL;ALATERNO;ALATERNO;15;1
CALLE;DE;ALAVA;ÁLAVA;16;3
CALLE;DEL;ALBA;ALBA;11;5
CALLE;DE;ALBA DE TORMES;ALBA DE TORMES;15;5
CALLE;DE;ALBACETE;ALBACETE;20;1
CALLE;DE;ALBADALEJO;ALBADALEJO;16;1
CALLE;DE LA;ALBAHACA;ALBAHACA;12;2
CALLE;DE;ALBAICIN;ALBAICÍN;20;2
CALLE;DE;ALBAIDA;ALBAIDA;20;1
CALLE;DE;ALBALA;ALBALÁ;13;2
CALLE;DE;ALBALATE DEL ARZOBISPO;ALBALATE DEL ARZOBISPO;20;5
CALLE;DE;ALBANIA;ALBANIA;20;4
CALLE;DE LA;ALBAÑILERIA;ALBAÑILERÍA;12;6
CALLE;DEL;ALBARDIN;ALBARDÍN;11;5
CALLE;DE;ALBARES DE LA RIBERA;ALBARES DE LA RIBERA;11;6
CALLE;DEL;ALBARICOQUE;ALBARICOQUE;20;1
CALLE;DE;ALBARRACIN;ALBARRACÍN;20;1
CALLE;DE;ALBASANZ;ALBASANZ;16;4
CALLE;DE;ALBATANA;ALBATANA;11;4
CALLE;DEL;ALBATROS;ALBATROS;15;6
CALLE;DE;ALBELDA;ALBELDA;6;4
CALLE;DE;ALBENDIEGO;ALBENDIEGO;10;2
CALLE;DE;ALBENIZ;ALBÉNIZ;11;3
CALLE;DE;ALBENTOSA;ALBENTOSA;2;7
CALLE;DEL;ALBERCHE;ALBERCHE;3;1
PASAJE;DEL;ALBERCHE;ALBERCHE;3;1
CALLE;DE;ALBERDI;ALBERDI;6;5
CARRETERA;DEL;ALBERGUE JUVENIL;ALBERGUE JUVENIL;9;1
CALLE;DE;ALBERIQUE;ALBERIQUE;20;3
CALLE;DE;ALBERT CAMUS;ALBERT CAMUS;11;2
CALLE;DE;ALBERTO AGUILERA;ALBERTO AGUILERA;1;5
AVENIDA;DE;ALBERTO ALCOCER;ALBERTO ALCOCER;7;1
CALLE;DE;ALBERTO BOSCH;ALBERTO BOSCH;7;2
CALLE;DE;ALBERTO DE PALACIO;ALBERTO DE PALACIO;5;4
CALLE;DE;ALBERTO INSUA;ALBERTO INSÚA;5;5
CALLE;DE;ALBERTO LEON PERALTA;ALBERTO LEÓN PERALTA;3;5
CALLE;DE;ALBERTO MARCOS;ALBERTO MARCOS;8;3
CALLE;DE;ALBERTO MARTIN ARTAJO;ALBERTO MARTÍN ARTAJO;5;6
CALLE;DE;ALBERTO PALACIOS;ALBERTO PALACIOS;18;1
PASEO;DE;ALBERTO PALACIOS;ALBERTO PALACIOS;4;4
CALLE;DE;ALBERTO SANCHEZ;ALBERTO SÁNCHEZ;17;1
CALLE;DE;ALBINO HERNANDEZ LAZARO;ALBINO HERNÁNDEZ LÁZARO;17;1
CALLE;DE;ALBOREA;ALBOREA;19;1
CALLE;DE;ALBOX;ALBOX;17;1
AVENIDA;DE LA;ALBUFERA;ALBUFERA;11;5
CALLE;DE;ALBUÑUELAS;ALBUÑUELAS;11;5
CALLE;DE;ALBURQUERQUE;ALBURQUERQUE;13;2
CALLE;DE;ALCACER TEJARES;ALCÁCER TEJARES;13;3
CALLE;DE;ALCALA;ALCALÁ;13;4
CALLE;DE;ALCALA DE GUADAIRA;ALCALÁ DE GUADAIRA;13;5
CALLE;DE;ALCALA GALIANO;ALCALÁ GALIANO;13;6
CALLE;DEL;ALCALDE ALFONSO VAZQUEZ;ALCALDE ALFONSO VÁZQUEZ;12;2
CALLE;DEL;ALCALDE ALVAREZ DE VILLAAMIL;ALCALDE ÁLVAREZ DE VILLAAMIL;7;3
CALLE;DEL;ALCALDE ANDRES MADRID DAVILA;ALCALDE ANDRÉS MADRID DÁVILA;19;1
CALLE;DEL;ALCALDE ARISTIZABAL MANCHON;ALCALDE ARISTIZÁBAL MANCHÓN;1;3
PLAZA;DEL;ALCALDE BRELL;ALCALDE BRELL;1;4
CALLE;DEL;ALCALDE CONDE DE MIRASOL;ALCALDE CONDE DE MIRASOL;1;6
CALLE;DEL;ALCALDE GARRIDO JUARISTI;ALCALDE GARRIDO JUARISTI;3;5
CALLE;DEL;ALCALDE HENCHE DE LA PLATA;ALCALDE HENCHE DE LA PLATA;4;1
CALLE;DEL;ALCALDE JUAN DE MATA SEVILLANO;ALCALDE JUAN DE MATA SEVILLANO;4;2
CALLE;DEL;ALCALDE LOPEZ CASERO;ALCALDE LÓPEZ CASERO;4;3
CALLE;DEL;ALCALDE LUIS MARICHALAR;ALCALDE LUIS MARICHALAR;4;4
CALLE;DEL;ALCALDE LUIS SILVELA;ALCALDE LUIS SILVELA;15;1
CALLE;DEL;ALCALDE MARTIN DE ALZAGA;ALCALDE MARTÍN DE ALZAGA;15;2
PLAZA;DEL;ALCALDE MORENO TORRES;ALCALDE MORENO TORRES;15;3
CALLE;DE;ALCALDE PEDRO ESCARBASSIERE;ALCALDE PEDRO ESCARBASSIERE;15;4
CALLE;DEL;ALCALDE PEDRO GUTIERREZ;ALCALDE PEDRO GUTIÉRREZ;20;1
CALLE;DEL;ALCALDE REDONDO ACEÑA;ALCALDE REDONDO ACEÑA;20;5
CALLE;DEL;ALCALDE SAINZ DE BARANDA;ALCALDE SAINZ DE BARANDA;20;6
CALLE;DE LA;ALCANCIA;ALCANCÍA;20;7
CALLE;DE;ALCANTARA;ALCÁNTARA;20;8
CALLE;DE;ALCAÑICES;ALCAÑICES;13;3
CALLE;DE;ALCAÑIZ;ALCAÑIZ;7;4
CALLE;DEL;ALCARAVAN;ALCARAVÁN;13;2
CALLE;DE;ALCARAZ;ALCARAZ;16;6
CALLE;DE LA;ALCARRIA;ALCARRIA;19;1
CALLE;DEL;ALCATRAZ;ALCATRAZ;16;6
PLAZA;DE;ALCAUDETE;ALCAUDETE;11;7
CALLE;DEL;ALCAUDON;ALCAUDÓN;16;6
CALLE;DE LA;ALCAZABA;ALCAZABA;14;4
CALLE;DE;ALCAZAR DE SAN JUAN;ALCÁZAR DE SAN JUAN;16;6
CALLE;DE;ALCION;ALCIÓN;19;1
PLAZA;DE;ALCIRA;ALCIRA;15;3
CALLE;DE;ALCOBENDAS;ALCOBENDAS;15;4
CAMINO;DE;ALCOBENDAS;ALCOBENDAS;14;4
CARRETERA;DE;ALCOBENDAS;ALCOBENDAS;20;6
CARRETERA;DE;ALCOBENDAS;ALCOBENDAS;9;4
CARRETERA;DE;ALCOBENDAS A BARAJAS;ALCOBENDAS A BARAJAS;16;6
CALLE;DE;ALCOCER;ALCOCER;19;1
CALLE;DE;ALCOLEA;ALCOLEA;19;1
CALLE;DE;ALCONERA;ALCONERA;16;6
CALLE;DE;ALCORES;ALCORES;3;3
CALLE;DE;ALCORISA;ALCORISA;3;4
CALLE;DEL;ALCORNOQUE;ALCORNOQUE;3;6
CALLE;DE;ALDAPA;ALDAPA;4;3
CALLE;DE;ALDAYA;ALDAYA;9;7
CALLE;DE;ALDEA DEL FRESNO;ALDEA DEL FRESNO;4;2
CALLE;DE;ALDEA REAL;ALDEA REAL;4;5
CALLE;DE;ALDEANUEVA DE LA VERA;ALDEANUEVA DE LA VERA;20;4
CALLE;DE;ALDEBARAN;ALDEBARÁN;21;4
CALLE;DE;ALDONZA LORENZO;ALDONZA LORENZO;10;1
CALLE;DE LA;ALEGRIA;ALEGRÍA;16;4
CALLE;DE;ALEGRIA DE ORIA;ALEGRÍA DE ORIA;17;5
CALLE;DE;ALEIXANDRE;ALEIXANDRE;11;2
CALLE;DE;ALEJANDRINA MORAN;ALEJANDRINA MORÁN;16;4
CALLE;DE;ALEJANDRO CASONA;ALEJANDRO CASONA;11;3
CALLE;DE;ALEJANDRO CHACON;ALEJANDRO CHACÓN;12;3
AVENIDA;DE;ALEJANDRO DE LA SOTA;ALEJANDRO DE LA SOTA;10;2
CALLE;DE;ALEJANDRO DUMAS;ALEJANDRO DUMAS;11;3
CALLE;DE;ALEJANDRO FERRANT;ALEJANDRO FERRANT;9;4
CALLE;DE;ALEJANDRO GONZALEZ;ALEJANDRO GONZÁLEZ;16;4
CALLE;DE;ALEJANDRO HUMBOLT;ALEJANDRO HUMBOLT;21;2
CALLE;DE;ALEJANDRO MORAN;ALEJANDRO MORÁN;17;1
CALLE;DE;ALEJANDRO NAVARRO;ALEJANDRO NAVARRO;17;5
CALLE;DE;ALEJANDRO RODRIGUEZ;ALEJANDRO RODRÍGUEZ;6;4
CALLE;DE;ALEJANDRO SAINT AUBIN;ALEJANDRO SAINT AUBIN;20;2
CALLE;DE;ALEJANDRO SANCHEZ;ALEJANDRO SÁNCHEZ;20;3
TRAVESIA;DE;ALEJANDRO SANCHEZ;ALEJANDRO SÁNCHEZ;13;1
CALLE;DE;ALEJANDRO VILLEGAS;ALEJANDRO VILLEGAS;16;3
CALLE;DE;ALEMANIA;ALEMANIA;9;7
CALLE;DE;ALENZA;ALENZA;11;4
CALLE;DEL;ALERCE;ALERCE;16;4
CALLE;DE;ALESANCO;ALESANCO;2;3
CALLE;;ALFA;ALFA;9;3
CALLE;DE;ALFACAR;ALFACAR;10;7
CALLE;DE LA;ALFALFA;ALFALFA;9;7
CALLE;DE;ALFAMBRA;ALFAMBRA;8;6
CALLE;DEL;ALFAR;ALFAR;11;5
CALLE;DE LA;ALFARERIA;ALFARERÍA;20;8
CALLE;DE LOS;ALFAREROS;ALFAREROS;15;8
CALLE;DE;ALFARNATE;ALFARNATE;10;3
CALLE;DE;ALFARO;ALFARO;8;3
CALLE;DEL;ALFEREZ JUAN USERA;ALFÉREZ JUAN USERA;15;7
CALLE;DE;ALFONSO CEA;ALFONSO CEA;16;6
CALLE;DE;ALFONSO FERNANDEZ;ALFONSO FERNÁNDEZ;21;4
CALLE;DE;ALFONSO FERNANDEZ CLAUSELLS;ALFONSO FERNÁNDEZ CLAUSELLS;2;1
CALLE;DE;ALFONSO GOMEZ;ALFONSO GÓMEZ;2;5
CALLE;DE;ALFONSO MARTINEZ CONDE;ALFONSO MARTÍNEZ CONDE;4;3
CALLE;DE;ALFONSO PASO;ALFONSO PASO;18;3
AVENIDA;DE;ALFONSO PEÑA BOEUF;ALFONSO PEÑA BOEUF;11;5
CALLE;DE;ALFONSO RODRIGUEZ CASTELAO;ALFONSO RODRÍGUEZ CASTELAO;6;1
CALLE;DE;ALFONSO RODRIGUEZ SANTAMARIA;ALFONSO RODRÍGUEZ SANTAMARÍA;2;3
CALLE;DE;ALFONSO VI;ALFONSO VI;11;2
CALLE;DE;ALFONSO VIII;ALFONSO VIII;11;2
CALLE;DE;ALFONSO X;ALFONSO X;16;3
CALLE;DE;ALFONSO XI;ALFONSO XI;6;4
CALLE;DE;ALFONSO XII;ALFONSO XII;7;5
AVENIDA;DE;ALFONSO XIII;ALFONSO XIII;12;2
CALLE;DE;ALFONSO XIII;ALFONSO XIII;9;4
CALLE;DE;ALFONSO ZAMORA VICENTE;ALFONSO ZAMORA VICENTE;21;2
CALLE;DE;ALFREDO ALEIX;ALFREDO ALEIX;16;4
TRAVESIA;DE;ALFREDO ALEIX;ALFREDO ALEIX;6;5
CALLE;DE;ALFREDO BRAÑAS;ALFREDO BRAÑAS;5;6
CALLE;DE;ALFREDO CASTRO CAMBA;ALFREDO CASTRO CAMBA;9;7
CALLE;DE;ALFREDO DI STEFANO;ALFREDO DI STÉFANO;9;7
PLAZA;DE;ALFREDO MAHOU;ALFREDO MAHOU;20;4
CALLE;DE;ALFREDO MARQUERIE;ALFREDO MARQUERÍE;13;4
CALLE;DE;ALGABA;ALGABA;11;4
CALLE;DEL;ALGARROBO;ALGARROBO;11;3
CALLE;DE;ALGECIRAS;ALGECIRAS;10;2
CALLE;DE;ALGEMESI;ALGEMESÍ;11;6
TRAVESIA;DE;ALGEMESI;ALGEMESÍ;9;3
CALLE;DE;ALGENIB;ALGENIB;20;1
CALLE;DE;ALGETE;ALGETE;11;7
CALLE;DEL;ALGODON;ALGODÓN;15;2
CALLE;DE LOS;ALGODONALES;ALGODONALES;20;6
CALLE;DE;ALGODRE;ALGODRE;8;3
CALLE;DE;ALGORTA;ALGORTA;5;1
CALLEJON;DEL;ALGUACIL;ALGUACIL;1;1
GLORIETA;DE;ALHABIA;ALHABIA;5;5
PLAZA;DE;ALHAMA DE ALMERIA;ALHAMA DE ALMERÍA;7;4
CALLE;DE LA;ALHAMBRA;ALHAMBRA;3;5
CALLE;DE;ALHAURIN;ALHAURÍN;3;5
AVENIDA;DE LOS;ALHELIES;ALHELÍES;5;3
CALLE;DE;ALHENA;ALHENA;5;4
CALLE;DE LA;ALHONDIGA;ALHÓNDIGA;5;5
CALLE;DE;ALIAGA;ALIAGA;13;6
CALLE;DE LA;ALIANZA;ALIANZA;11;2
CALLE;DE;ALICANTE;ALICANTE;11;6
CALLE;DE;ALICIA BAENA;ALICIA BAENA;11;6
CALLE;DE;ALICUN;ALICÚN;14;4
CALLE;DEL;ALIGUSTRE;ALIGUSTRE;13;2
CALLE;DE;ALISEDA;ALISEDA;16;6
CALLE;DE LOS;ALISIOS;ALISIOS;8;5
CALLE;DE;ALJARAFE;ALJARAFE;11;3
CALLE;DE;ALLAMANDA;ALLAMANDA;8;7
CALLE;DE;ALLARIZ;ALLARIZ;1;1
CALLE;DE;ALLENDE;ALLENDE;21;3
CALLE;DE;ALLENDESALAZAR;ALLENDESALAZAR;21;4
PLAZA;DE;ALLOZ;ALLOZ;21;4
CALLE;DE;ALMADEN;ALMADÉN;9;7
CALLE;DE;ALMAGRO;ALMAGRO;2;4
CALLE;DEL;ALMANAQUE;ALMANAQUE;20;3
CALLE;DE;ALMANSA;ALMANSA;6;6
TRAVESIA;DE;ALMANSA;ALMANSA;11;3
CALLE;DEL;ALMANZORA;ALMANZORA;11;4
CALLE;DE;ALMARZA;ALMARZA;11;3
CALLE;DE;ALMAZAN;ALMAZÁN;13;6
CALLE;DE LA;ALMAZARA;ALMAZARA;16;5
CALLE;DE;ALMEDINA;ALMEDINA;10;1
CAMINO;DE LA;ALMENARA;ALMENARA;10;3
CAMINO;DE LA;ALMENARA;ALMENARA;21;4
CALLE;DE LAS;ALMENAS;ALMENAS;5;4
CALLE;DE;ALMENDRALEJO;ALMENDRALEJO;9;7
CALLE;DE LOS;ALMENDRALES;ALMENDRALES;21;3
GLORIETA;DE LA;ALMENDRERA;ALMENDRERA;20;7
CALLE;DEL;ALMENDRO;ALMENDRO;17;4
TRAVESIA;DEL;ALMENDRO;ALMENDRO;2;5
CALLE;DE;ALMERIA;ALMERÍA;8;3
CALLE;DEL;ALMEZ;ALMEZ;16;5
CALLE;DEL;ALMIRANTE;ALMIRANTE;6;5
CALLE;DEL;ALMIRANTE REQUESENS;ALMIRANTE REQUESENS;11;5
PLAZA;DE;ALMODOVAR;ALMODÓVAR;13;1
CALLE;DE;ALMOGIA;ALMOGÍA;11;6
CALLE;DE;ALMONACID;ALMONACID;15;7
CALLE;DE;ALMONTE;ALMONTE;11;5
CALLE;DE;ALMORADI;ALMORADÍ;1;3
CALLE;DE;ALMOROX;ALMOROX;7;4
CALLE;DE LAS;ALMORTAS;ALMORTAS;20;6
CALLE;DE LA;ALMUDENA;ALMUDENA;6;1
PLAZA;DE;ALMUÑECAR;ALMUÑÉCAR;9;3
CALLE;DE;ALMURADIEL;ALMURADIEL;9;3
CALLE;DEL;ALOE VERA;ÁLOE VERA;9;7
CALLE;DE LA;ALONDRA;ALONDRA;16;4
CALLE;DE;ALONSO CANO;ALONSO CANO;10;3
CALLE;DE;ALONSO CARBONELL;ALONSO CARBONELL;20;4
PASAJE;DE;ALONSO CARBONELL;ALONSO CARBONELL;11;5
CALLE;DE;ALONSO CASTRILLO;ALONSO CASTRILLO;8;1
CALLE;DE;ALONSO DE CONTRERAS;ALONSO DE CONTRERAS;11;3
CALLE;DE;ALONSO DEL BARCO;ALONSO DEL BARCO;12;4
CALLE;DE;ALONSO FERNANDEZ;ALONSO FERNÁNDEZ;12;5
CALLE;DE;ALONSO HEREDIA;ALONSO HEREDIA;21;4
PLAZA;DE;ALONSO MARTINEZ;ALONSO MARTÍNEZ;1;1
CALLE;DE;ALONSO MARTOS;ALONSO MARTOS;1;1
CALLE;DE;ALONSO NUÑEZ;ALONSO NÚÑEZ;4;3
CALLE;DE;ALONSO QUIJANO;ALONSO QUIJANO;2;7
CALLE;DE;ALONSO SAAVEDRA;ALONSO SAAVEDRA;1;4
CALLE;DE;ALORA;ALORA;10;2
PLAZA;DE;ALOSNO;ALOSNO;11;3
CALLE;DE;ALOZAINA;ALOZAINA;13;4
CALLE;DE;ALPEDRETE;ALPEDRETE;13;6
CALLE;DE LOS;ALPES;ALPES;18;3
CALLE;DE LAS;ALPUJARRAS;ALPUJARRAS;11;5
CALLE;DE LA;ALQUIMIA;ALQUIMIA;9;4
PLAZA;DE;ALSACIA;ALSACIA;6;5
CALLE;DE;ALSASUA;ALSASUA;1;1
CALLE;DE;ALTAIR;ALTAIR;9;1
CALLE;DE;ALTAMIRA;ALTAMIRA;13;1
CALLE;DE;ALTAMIRANO;ALTAMIRANO;19;1
CALLE;DE;ALTEA;ALTEA;11;4
CAMINO;;ALTO DE HORTALEZA;ALTO DE HORTALEZA;7;4
CALLE;DEL;ALTO DE LA SARTENILLA;ALTO DE LA SARTENILLA;7;5
CAMINO;;ALTO DE SAN ISIDRO;ALTO DE SAN ISIDRO;2;3
CALLE;DEL;ALTO DEL ESPARRAGAL;ALTO DEL ESPARRAGAL;6;3
